Catalogue number,Ware,NAA Group,Pb,Si,Al,Na,Mg,Ca,Fe,K,Ti,P,Sn,Cu,Mn,Cr,Sb,Ni,PbO,SiO2,Al2O3,Na2O,MgO,CaO,Fe2O3,K2O,Alkali
BKH22-138-an,Samanid - Slipware,BUK,52.98,23.62,2.18,0.46,0.25,1.3,0.22,0.79,,,,,,,,,49.26634582,43.62156208,3.555706023,0.53527161,0.357878436,1.570210896,0.271527522,0.821497616,7.112092102
TASH017,Samanid - Slipware,N/A,49.63,23.87,2.93,0.27,0.24,1.05,1.24,1.31,0,,,,,,,,46.22879362,44.15741355,4.78703786,0.314709629,0.344141186,1.270380508,1.533002093,1.364521553,9.613792829
TASH017,Samanid - Slipware,N/A,54.77,22.39,2.14,0,0,0.84,1.04,0.51,0.26,,,,,,,,51.65411239,41.93717568,3.540029591,0,0,1.029005475,1.301812026,0.537864842,6.408711934
TASH060,Samanid - Slipware,N/A,54.72,21.88,1.82,0.34,0.12,1,0.77,1.75,0,,,,,,,,51.49906463,40.89625058,3.004385083,0.400414827,0.173856776,1.222445454,0.961826537,1.841756114,7.604684791
TASH060,Samanid - Slipware,N/A,53.73,22.09,2.2,0.5,0.25,1.02,0.51,1.21,0.1,,,,,0.34,,,50.77234909,41.45615848,3.646397872,0.59123264,0.363670062,1.251949543,0.639636695,1.278605612,7.771492424
TASH059,Samanid - Slipware,TASH,54.58,23.37,2.23,0.33,0.22,0.52,0.36,0.93,,,,,,,,,50.60756967,43.03517625,3.626751256,0.382889865,0.314023215,0.626269889,0.443034175,0.964285681,6.357254082
BKH22-271-d,Monochrome green,unassigned,57.1,18.82,2.44,0.55,0.44,1.5,0.8,0.5,0,,,2.06,0.01,,,0,55.06720725,36.04619981,4.127411088,0.663739424,0.653230937,1.878989875,1.023999414,0.539222204,8.886592941
Paykend-7,Monochrome green,PAY 2,51.62,18.63,2.75,0.61,0.43,3.11,1.61,1.77,0.06,,,1.74,0.16,,,0,50.10480608,35.91345299,4.681931291,0.740916389,0.642520466,3.921010559,2.074149419,1.921212798,13.98174092
Paykend-21,Monochrome green,N/A,47.66,20.75,3.07,1.17,0.53,2.35,1.47,1.77,0,,,2.35,0.03,,,0,46.0405677,39.80958555,5.201827715,1.414329092,0.788169503,2.948700964,1.884762987,1.912056484,14.14984674
Paykend-21,Monochrome green,N/A,57,18.23,1.35,0.42,0.22,3.16,0,1.02,0,,,2.46,0,,,0.27,56.05690893,35.60605698,2.328729345,0.516870281,0.33306891,4.036617612,0,1.121747942,8.337034091
Paykend-24,Monochrome green,PAY 2,41.36,21.38,3.35,0.83,0.7,4.77,1.99,2.31,0.13,,,2.2,0.37,,,0,40.06458077,41.13113526,5.691881323,1.00608841,1.04384313,6.00170561,2.558502977,2.502262524,18.80428397
Paykend-25,Monochrome green,BUK,56.82,18.45,1.94,0.25,0.24,2.33,0.65,1.17,0.02,,,2.75,0,,,0,55.30218168,35.66320163,3.311873361,0.304480178,0.359591487,2.945596083,0.839667163,1.273408417,9.034616689
Paykend-31,Monochrome green,unassigned,45.5,17.58,2.9,0.76,0.4,4.86,1.97,3.98,0.48,,,3.57,0,,,0,45.29815914,34.75929429,5.06405147,0.946805408,0.613036414,6.284658203,2.603083865,4.430911213,19.94254657
BKH22-006-g,splashed ware,N/A,58.03,19.86,1.85,0.31,0.26,0.65,0.23,0.38,,,,2.77,,,,,56.29615623,38.26382134,3.147957481,0.376327407,0.388290393,0.819060094,0.296146624,0.412240436,5.440022434
BKH22-006-g,splashed ware,N/A,59.53,19.08,1.5,0.02,0.09,1.25,1.23,0.69,,,,0.33,0.06,,,,57.10556905,36.34995475,2.523857304,0.0240077,0.132905274,1.557502783,1.566031416,0.740171725,6.544476203
BKH22-006-g,splashed ware,N/A,56.26,20.53,1.78,0.3,0.09,1.28,1.28,1.14,,,,0.59,0,,,,53.42561507,38.71878097,2.964836591,0.356491385,0.131567747,1.578832326,1.613290402,1.210585515,7.855603966
BKH20-87-21,splashed ware,SAMK,53.2,20.4,2.6,0,0.2,2.4,1.1,0.9,,,,,,,,,51.07192978,38.89410001,4.377991768,0,0.295568234,2.992665073,1.401574214,0.966170926,10.03397021
BKH20-87-21,splashed ware,SAMK,54.7,21.1,2.1,0.4,0.4,1.1,0.7,0.4,,,,1.7,,,,,52.49024346,40.21208939,3.534610085,0.48031841,0.590892363,1.371071752,0.891542557,0.42923198,7.297667147
BKH20-94-2,splashed ware,unassigned,49,19.62,3.29,0.51,0.24,2.2,1.34,1.4,,,0.66,2.44,,,,,48.54098102,38.60063023,5.716619993,0.63220893,0.365999789,2.830814343,1.761854521,1.550891172,12.85838875
BKH20-94-2,splashed ware,unassigned,38.92,22.66,3.77,0.69,0.31,4.11,1.5,2.12,,,1.65,,,,,,38.31596673,44.30469841,6.509974131,0.850029558,0.469813805,5.255632809,1.959977079,2.33390748,17.37933486
TASH058,splashed ware,unassigned,58.14,19.22,1.31,0.17,0.19,0.99,0.27,0.53,,,,2.9,,,,,57.36491132,37.66236653,2.267115006,0.209893119,0.288590496,1.268769503,0.353580122,0.58477391,4.972722155
TASH058,splashed ware,unassigned,60.96,18.66,1.08,0,0,1.23,0.88,0.34,,,,,1.51,,,,59.15044842,35.9590033,1.838094329,0,0,1.550223913,1.133309509,0.368920526,4.890548278
TASH058,splashed ware,unassigned,45.48,21.89,3.96,0.48,0.71,3.19,1.39,1.17,,0.14,,,,,,,43.35965348,41.4470888,6.622035268,0.572643803,1.042031434,3.950319906,1.758866692,1.247360616,15.19325772
BKH22-060-u,splashed ware,unassigned,41.77,24.16,3.04,1.08,0.68,2.3,0.79,2.06,,,,1.37,0.13,,,,40.23223907,46.21570487,5.135872911,1.301701678,1.008267493,2.877489857,1.009926102,2.218798009,13.55205605
BKH22-060-u,splashed ware,unassigned,38.5,26.05,2.83,1.06,0.37,2.11,0.79,2.75,,,,0.88,0.16,,,,37.03347486,49.76504318,4.77475538,1.275902771,0.547889002,2.636285416,1.008587551,2.958061829,13.20148195
