ANID,Alternat_ ID,Site Name,NAA Group,Ware,Ware description,Date,Form,Ce,Co,Cr,Cs,Eu,Fe,Hf,Ni,Rb,Sb,Sc,Sr,Ta,Tb,Th,Zn,Zr,As,La,Lu,Nd,Sm,U,Yb,Al,Ba,Ca,Dy,K,Mn,Na,Ti,V
UZB082,BKH22-184-v,Bukhara,Outlier,lustre,lustreware,10th c. CE,Open Vessel - Unknown,47.09,29.35,247.86,1.68,1.05,51007,3.09,224.84,21.96,1.08,18.27,569.29,0.88,0.71,6.93,108.51,75.32,15.39,23.63,0.29,25.8,4.64,5.43,2.09,64958,259.02,147470,4.61,13434,1226.3,15963,3886.7,128.39
UZB083,BKH22-184-ad,Bukhara,BUK,slipware,polychrome slipware - yellow staining?,end of 10th-early 11th c. CE,Open Vessel - Unknown,64.92,16.24,101.65,9.41,1.17,44490,4.15,92.61,117.89,2.36,15.81,537.54,0.97,0.76,12.1,97.35,107.39,21.94,32.14,0.41,30.72,5.79,3.54,2.69,83923,659.33,84505,5.7,29881,830.48,8185.4,3869.6,128.3
UZB084,BKH22-201-ab,Bukhara,SAMK,splashed sgraffito,splashed sgraffiato,1st half of 10th c. CE,Open Vessel - Unknown,68,10.23,140.85,6.59,1.28,32452,6.23,53,97.75,2.3,11.93,355.91,1.03,0.93,11.14,118.28,170.3,10.48,35.18,0.38,34.63,6.55,6.59,2.94,65067,576.8,63167,4.77,22983,572.73,11340,3290.3,110.75
UZB085,BKH22-201-ac,Bukhara,BUK,monochrome,monochrome green,9/10th? c. CE,Closed Vessel,64.84,16.53,100.52,5.93,1.23,43693,4.05,74.76,106.53,1.89,15.66,424.84,0.95,0.84,11.81,100.43,117.63,21.36,32.02,0.41,29.65,5.77,4.55,2.56,72452,468.54,84791,4.45,26859,756.62,11697,3671.6,119.62
UZB086,BKH22-201-aq,Bukhara,unassigned,opaque,Buff ware,9th c. CE,Open Vessel - Bowl,65.13,13.75,87.11,7.34,1.17,37669,4.96,0,117.24,2.47,13.37,521.22,1.05,0.82,11.82,100.09,113.35,16.37,32.62,0.36,28.37,5.76,4.35,2.84,69418,747.95,70862,4.25,25544,817.45,13090,3557.7,118.25
UZB087,BKH22-201-as,Bukhara,unassigned,opaque,Buff ware,9th c. CE,Open Vessel - Bowl,53.91,14.3,84.58,4.74,1.04,34626,4.07,27.94,97.86,1.27,13.23,866.64,0.84,0.67,9.59,110.5,124.1,14.11,26.56,0.34,24.01,4.89,2.35,2.47,69277,495.35,101650,3.72,28847,715.34,11066,2557,128.46
UZB088,BKH22-201-at,Bukhara,BUK A,opaque,buffware,9th c. CE,Open Vessel - Bowl,57.37,13.48,84.54,8.62,1.08,39192,3.7,50.57,58.46,2.39,14.39,692.61,0.87,0.78,10.04,120.98,95.88,23.95,28.21,0.33,25.93,5.17,3.12,2.28,72179,419.17,102430,3.99,15748,798.4,12632,2891.1,117.8
UZB089,BKH22-222-y,Bukhara,BUK,slipware,polychrome slipware,end of 10th-early 11th c. CE,Open Vessel - Unknown,65.81,14.47,95.55,6.62,1.13,43063,4.05,0,87.33,2.35,15.6,683.43,1,0.83,12.1,124.01,103.99,26.54,32.54,0.37,31.41,5.88,4.67,2.51,75159,595.81,93687,4.65,24270,812.86,10897,3666.9,127.04
UZB090,BKH22-266-e,Bukhara,SAMK,opaque,monochrome blue,9th c. CE,Open Vessel - Unknown,67.61,10,121.8,5.7,1.23,31602,6.3,80.54,89.07,1.36,11.7,326.97,1.09,0.84,11.18,90.16,150.21,16.54,35.31,0.38,32.75,6.33,4.27,2.81,67535,435.97,77437,4.9,20949,558.9,12110,3827.4,122.57
UZB091,BKH22-266-ae,Bukhara,unassigned,opaque,syrian yellow glaze family?,9th c. CE,Open Vessel - Bowl,59.97,12.54,83.04,7.38,1.08,36014,4.47,0,117.39,1.96,12.98,555.74,0.92,0.83,10.5,95.19,146.65,16.13,29.63,0.38,28.76,5.25,4.23,2.6,73668,562.17,75506,4.31,29681,618.76,10119,2693.8,104.31
UZB092,BKH22-266-ag,Bukhara,BUK,slipware,polychrome slipware,end of 10th-early 11th c. CE,Open Vessel - Unknown,65.45,15.83,98.2,7.21,1.14,42838,4.19,46.17,101.88,2.33,15.26,468.81,0.92,0.75,11.82,94.62,114.19,21.11,32.06,0.36,30.55,5.82,4.72,2.86,73448,481.56,97646,4.34,21935,816.29,7723.3,3450,118.16
UZB093,BKH22-271-d,Bukhara,unassigned,monochrome,monochrome green,beginning-middle of 10th c. CE,Open Vessel - Bowl,63.87,16.85,99.94,7.26,1.15,44645,3.99,0,107.59,6.01,16.13,386.9,0.9,1.11,11.89,126.85,98.67,23.2,32.36,0.39,26.88,5.66,4.16,2.92,80194,521.16,101060,4.39,24436,824.45,10030,3807.6,143.42
UZB094,BKH22-271-m,Bukhara,BUK,slipware,polychrome slipware,end of 10th-early 11th c. CE,Open Vessel - Unknown,62.75,15.4,92.3,6.45,1.16,41600,4.29,36.34,94.31,2.14,14.85,343.18,0.92,0.73,11.41,124.29,125.1,19.49,31.65,0.37,27.09,5.65,3.3,2.59,75096,584.74,89357,4.49,21674,762.66,9405.8,3579.6,112.9
UZB095,BKH22-282-k,Bukhara,PAY 3,monochrome,,12th c. CE,Open Vessel - Unknown,61.49,15.69,91.63,7.56,1.12,43181,4.19,0,93.87,2.18,15.52,368.2,0.92,0.9,11.53,93.57,127.93,17.13,30.29,0.36,26.32,5.45,3.88,2.47,79958,444.12,93622,4.12,21862,691.86,12480,3659,133.9
UZB096,Paykend-7,Paykend,PAY 2,monochrome,,2nd half of the 10th c. to 1st quarter of the 11th c. CE,Closed Vessel,62.81,17.73,99.68,7.4,1.14,43438,3.8,40.37,103.56,1.77,15.77,608.28,0.8,0.96,11.58,104.92,114.19,9.88,31.54,0.36,30.7,5.6,4.81,2.7,78164,511.02,96357,4.17,22495,831.58,12785,3598.9,128.54
UZB097,Paykend-8,Paykend,BUK,slipware,slipware,10th-early 11th c. CE,Open Vessel - Unknown,62.01,14.98,93.35,7.97,1.13,43130,4.25,0,119.53,2.48,15.04,367.67,0.83,0.79,11.25,92.07,113.24,20.16,30.97,0.37,26.15,5.41,2.98,2.5,78935,594.33,74672,4.21,25080,774.22,7642.7,3897.9,126.33
UZB098,Paykend-9,Paykend,BUK A,monochrome,,12th-early 13th c. CE,Open Vessel - Unknown,59.75,13.24,84.39,7.15,1.04,37149,4.17,28.51,89.74,2.49,13.45,738.25,0.87,1.04,10.68,85.44,111.66,17.33,29.7,0.36,23.34,5.14,5.04,2.69,74982,599.16,82496,3.86,18792,650.67,15687,3395.4,129.47
UZB099,Paykend-15,Paykend,BUK,monochrome,,12th-early 13th c. CE,Open Vessel - Unknown,67.22,17.3,97.69,8.28,1.17,42304,4.23,42.44,115.55,2.14,14.98,325.36,1.01,0.95,12.15,117.42,119.35,17.6,34.12,0.41,30.55,5.99,3.68,2.65,77794,719.82,87733,4.65,27880,811.21,12249,3999.5,121.99
UZB100,Paykend-17,Paykend,PAY 3,monochrome,,920-1020s CE,Closed Vessel,63.71,15.4,93.06,4.55,1.12,39433,4.54,17.94,60.03,2.43,14.15,359.19,0.84,0.81,11.28,82.45,137.28,21.15,31.86,0.37,27.63,5.73,2.93,2.48,69997,461.86,90326,4.18,20411,759.17,16946,3624.4,122.35
UZB101,Paykend-18,Paykend,PAY 3,kiln furniture,,920-1020s CE,Other,66.74,18.43,100.26,6.97,1.19,44483,3.85,0,67.79,2.02,16.03,349.55,0.93,0.76,11.74,104.57,100.21,20.27,32.93,0.39,32.04,6.07,3.61,2.4,81204,512.75,97151,4.1,17895,867.31,15218,4116.6,127.44
UZB102,Paykend-19,Paykend,PAY 3,kiln furniture,,920-1020s CE,Other,59.21,15.4,90.45,6.46,1.09,39036,3.87,0,79.09,2.27,14.04,341.62,0.8,0.75,10.72,100.94,84.81,18.12,30.25,0.34,26.92,5.27,3.07,2.62,75950,511.41,90768,3.92,19390,732.35,15574,3072.7,122.51
UZB103,Paykend-23,Paykend,PAY 1,kiln furniture,,920-1020s CE,Other,56.03,14.02,84.13,6.21,1.03,37006,3.8,0,88.5,1.45,12.99,619.68,0.82,0.67,10.12,86.59,96.59,4.81,28.29,0.33,26.94,5.01,3.58,2.23,74310,512.61,99635,3.71,19438,633.07,13050,3017.8,99.62
UZB104,Paykend-24,Paykend,PAY 2,kiln furniture,,920-1020s CE,Unknown,62,16.98,99.35,7.92,1.13,44167,3.71,0,118.88,1.92,15.98,553.05,0.89,0.98,11.67,99.28,105.26,15.01,31.06,0.38,28.5,5.5,4.27,2.82,81496,674,96136,4.6,25794,806.58,10548,3923.8,126.2
UZB105,Paykend-25,Paykend,BUK,kiln furniture,,920-1020s CE,Closed Vessel,58.35,15.93,97.22,7.47,1.07,41224,3.92,53.17,118.38,2.26,14.69,415.59,0.91,0.79,10.82,94.58,120.21,17.69,29.36,0.37,25.84,5.15,3.17,2.53,75937,626.47,91700,3.9,24338,792.12,8558.4,3137.2,131.81
UZB106,Paykend-27,Paykend,PAY 1,monochrome,,920-1020s CE,Closed Vessel,62.46,16.92,97.66,6.41,1.11,43267,3.79,0,57.71,1.52,15.57,340.16,0.82,0.72,11.71,87.06,65.56,7.16,31.92,0.37,28.12,5.68,2.9,2.48,82316,472.08,93402,4.27,14563,807.42,20723,3492.3,137.21
UZB107,Paykend-28,Paykend,PAY 1,monochrome,,920-1020s CE,Closed Vessel,64.01,17.05,97.59,7.06,1.17,43789,3.81,26.29,69.61,1.26,15.84,315.25,0.92,0.64,11.87,91.87,97.37,5.01,32.11,0.39,28.43,5.7,3.28,2.5,78843,421.38,91493,4.51,13933,797.38,19655,3742.2,146.02
UZB108,Paykend-31,Paykend,unassigned,monochrome,green monochrome,920-1020s CE,Lamp,61.5,14.8,90.46,6.48,1.1,38666,4.24,42.24,104.67,3.28,13.82,466.21,0.82,1.04,11.1,85.74,113.83,20.12,31.3,0.37,28.27,5.42,3.39,2.3,77514,803.73,89449,4.24,25276,812.9,10238,3605.5,119.67
UZB109,Paykend-32,Paykend,BUK,slipware,pseudo calligraphic,2nd half of 10th-early 11th c. CE,Open Vessel - Unknown,61.46,16.26,96.6,6.52,1.15,41795,4.14,18.63,97.12,2.29,14.96,343.51,0.86,1.08,11.24,107.48,101.27,19.32,30.65,0.36,28.37,5.49,3.21,2.39,75396,583.11,91984,4.22,22911,849.76,8354.6,4230.8,127.82
UZB110,Paykend-33,Paykend,BUK,slipware,polychrome slipware,?,,62.84,15.12,89.95,5.61,1.11,39701,4.18,19.29,84.8,2.07,14.25,310.79,0.87,1.11,10.92,91.43,127.69,17.73,32.29,0.38,28.26,5.56,3.5,2.79,70967,540.56,89218,4.12,20711,754.87,8780.8,3549.3,128.59
UZB111,TASH001,Tashkent,unassigned,opaque,opaque with green decoration,9th c. CE,Open Vessel - Unknown,68.29,13.29,71.72,6.97,1.16,35223,5.13,0,96.73,2.83,12.42,346.03,1.09,0.72,12.94,90.51,147.36,15.73,34.85,0.38,30.58,5.88,3.64,2.84,67267,624.94,76471,4.47,25830,814.18,12620,3831.7,86.92
