Sample,Site,Region,Instrument,Component,Ware,Incision,Glaze_or_slip_color,Na2O,MgO,Al2O3,SiO2,K2O,CaO,Fe2O3,TiO2,PbO,CuO,MnO,P2O5,SO3,Cl,BaO,Cr2O5,Total
Kuva 6,Kuva,Ferghana Valley,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Glaze,Slipware - Samanid,,Brown,0,0,2.5,32,0.8,0.9,,,62.3,,1.466666667,,,,,,99.96666667
Kuva 6,Kuva,Ferghana Valley,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Glaze,Slipware - Samanid,,Yellow,0,0,2.7,32.5,0.8,0.9,,,63.1,,0,,,,,,100
Kuva 6,Kuva,Ferghana Valley,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Glaze,Slipware - Samanid,,Transparent,0,0,2.7,32.3,0.9,0.7,0,,63.4,0,0,,,,,,100
Kuva 6,Kuva,Ferghana Valley,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Glaze,Slipware - Samanid,,Olive,0,0.1,2.6,31.9,0.8,0.7,0.3,,63.7,0,0,,,,,,100.1
Kuva 6,Kuva,Ferghana Valley,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Body,Slipware - Samanid,,,0.7,2.9,12.8,55,3.6,14.7,8.4,1,,,,,0.9,,,,100
Kuva 9,Kuva,Ferghana Valley,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Glaze,Alkali,,Blue,6.6,3.2,4.3,65.7,4.4,7.2,1.9,0.1,,4.5,1.6,0.1,0.2,0.2,,,100
Kuva 9,Kuva,Ferghana Valley,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",White Slip,Alkali,,,2.8,0.8,9.4,77.8,3.7,4.4,1.2,0,,,,,,,,,100.1
Kuva 9,Kuva,Ferghana Valley,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Body,Alkali,,,0.7,2.9,13.7,60.5,5,8.3,8,0.8,,,,,,,,,99.9
Tashkent 10,Tashkent,Chach,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",White Slip,Slipware,Y,,0.5,0.3,17.3,62.4,5.3,1,0,0.1,13.3,,,,,,,0,100.2
Tashkent 10,Tashkent,Chach,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Red Slip,Slipware,Y,,0.2,0.2,15.2,55.9,4.3,0,6.5,0,17.3,,,,,,,0.4,100
Tashkent 10,Tashkent,Chach,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Glaze,Slipware,Y,Transparent,0.4,0,2.5,42.6,1.9,0.1,0,,52.5,,0,,,,,,100
Tashkent 10,Tashkent,Chach,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Glaze,Slipware,Y,Red,0,0,4.1,40.2,0.7,0,0.6,,54.4,,0,,,,,,100
Tashkent 10,Tashkent,Chach,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Glaze,Slipware,Y,Black,0,0,2.4,39.6,1,0,1.8,,54.9,,0.4,,,,,,100.1
Tashkent 10,Tashkent,Chach,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Body,Slipware,Y,,0.6,2.2,11.9,58.4,3.2,15.7,6,0.5,,,,1.6,,,,,100.1
Tashkent 15,Tashkent,Chach,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",White Slip,Monochrome,,,0.3,0.5,11.7,69.4,4.3,0.9,0.1,0.2,12.6,,,,,,,,100
Tashkent 15,Tashkent,Chach,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Glaze,Monochrome,,Green,0,0.5,3.6,37.6,1.7,2.4,1.1,,50.1,2.9,,,,,,,99.9
Tashkent 15,Tashkent,Chach,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Body,Monochrome,,,0.8,2.4,12.5,57.1,3.1,14.1,7.5,0.6,,,,1.9,,,,,100
Tashkent 18,Tashkent,Chach,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Glaze,Slipware,,Transparent,0,0,2.3,34.8,0.6,0.1,0,,62.3,,0,,,,,,100.1
Tashkent 18,Tashkent,Chach,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Glaze,Slipware,,Black,0,0.1,2,34.6,0.8,0.2,1.7,,60.1,,0.5,,,,,,100
Tashkent 18,Tashkent,Chach,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",White Slip,Slipware,,,0,0.7,18.5,64.8,3.5,4.2,0.3,0.3,7.6,,0,0.1,,,,,100
Tashkent 18,Tashkent,Chach,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Black Slip,Slipware,,,0.3,0.3,8.6,51.3,3.8,10.3,13,0,9.4,,1.1,1.9,,,,,100
Tashkent 18,Tashkent,Chach,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Body,Slipware,,,0.8,2.6,12,63,3.9,10.9,6.6,0.3,,,,,,,,,100.1
Tashkent 2,Tashkent,Chach,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Glaze,Ishkor,,Lilac,4.9,1.5,5.9,75.3,6.4,3.5,0.8,0.1,1.4,0,0.1,,,0.2,,,100.1
Tashkent 2,Tashkent,Chach,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Glaze,Ishkor,,Green,3.7,0.9,4.7,63.7,4.4,3.3,0.3,0,16.4,2.5,0,,,0.1,,,100
Tashkent 2,Tashkent,Chach,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Body,Ishkor,,,0.9,2.3,11.8,63.7,3.1,13.3,5.1,0,,,,,,,,,100.2
Tashkent 24,Tashkent,Chach,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Black Slip,Slipware,Y,,0.8,0.8,11.4,48.6,3,6.8,13.4,0.5,4.5,,4.3,5.6,0.4,,,,100.1
Tashkent 24,Tashkent,Chach,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",White Slip,Slipware,Y,,1,0.4,23.7,43.2,3.9,4.8,5.8,0,11.6,,1.8,3.9,0,,,,100.1
Tashkent 24,Tashkent,Chach,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Glaze,Slipware,Y,Black,0.2,0.1,2.4,37.3,1,0.4,0.7,,57.4,,0.6,,,,,,100.1
Tashkent 24,Tashkent,Chach,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Glaze,Slipware,Y,Transparent,0,0,2.1,37.3,0.7,0.3,0,,59.5,,0,,,,,,99.9
Tashkent 24,Tashkent,Chach,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Body,Slipware,Y,,0.8,2.1,12,60,3.2,14.5,4.9,0.8,,,,1.4,,,,,99.7
Tashkent 32,Tashkent,Chach,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Olive Slip,Slipware,Y,,0,1.7,7.6,69.5,2.1,0.8,1.9,0,9.9,,,1.1,,,,5.4,100
Tashkent 32,Tashkent,Chach,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",White Slip,Slipware,Y,,0.4,0.5,13.8,64.8,3.7,2.4,0.4,1,12,,,1,,,,0.1,100.1
Tashkent 32,Tashkent,Chach,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Red Slip,Slipware,Y,,0.1,0.6,16.1,48.9,4,1,6.3,1.4,20,,,1.2,,,,0.5,100.1
Tashkent 32,Tashkent,Chach,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Glaze,Slipware,Y,Red,0,0,2.4,39.9,0.5,0.2,0,,56.9,,,,,,,,99.9
Tashkent 32,Tashkent,Chach,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Body,Slipware,Y,,0.8,2.6,14.1,57.5,2.5,12.8,4.8,0.5,,,,3.9,,,,,99.5
Tashkent 4,Tashkent,Chach,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Glaze,Ishkor,,Lilac,4.3,1.5,3.8,73.4,4.1,3.8,0.6,0,8.4,0,0.1,0,0.1,,,,100.1
Tashkent 4,Tashkent,Chach,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Glaze,Ishkor,,Green,3.3,1.1,3.7,61.7,3.6,3.8,0.3,0,15.1,7.2,0,0,0.1,,,,99.9
Tashkent 4,Tashkent,Chach,"NOT CERTAIN, but likely Philips XL30 with Oxford Instruments/Inca EDS",Body,Ishkor,,,0.9,2.2,11.5,62.4,3.2,13.7,5.4,0.8,,,,,,,,,100.1
