Sample,Site,Region,Instrument,Component,Ware,Incision,Glaze_or_slip_color,Provenance,LIA Group,Count,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,Cr2O3,MnO,FeO,CoO,CuO,MoO3,SnO2,Sb2O3,PbO,Total
K205,Sayram,Chach,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Opaque,,White,KAZ11,Tianshan group,5,6.174784529,2.204280051,5.827052739,65.4957893,0.29012986,5.728270608,4.136496671,0.098088749,0.007305062,0.374993536,0.669599665,,0.09085864,,0.647522143,0.000456719,8.254371733,100
K205,Sayram,Chach,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Opaque,,Green,KAZ11,Tianshan group,5,3.458644999,0.739556692,3.51193573,43.3609141,0.208200302,2.265456196,2.673710754,0.058193187,0.005903479,0.107039031,0.413447073,,3.967033352,,0.288464416,0.193878731,38.74762196,100
K212,Lower Barskhan,Talas Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Monochrome,,Yellow,KAZ14,Tianshan group,5,0.223218284,0.704067221,4.780365953,43.74978894,0.113016971,0.859436121,1.896246354,0.254375671,0.00852922,0.012150583,0.444882143,,0.191208507,,0.863659394,0.360663506,45.53839114,100
K007,Lower Barskhan,Talas Valley,CAMECA SX100 Ultra electron probe microanalyzer,White Slip,Splashed,,,KAZ3,Tianshan group,13,0.215828009,3.227909713,10.85955612,46.94793852,1.235705452,1.96417839,12.91759126,,0.013998622,0.046163947,2.597433419,0.002193453,0.302449842,,0.003907295,,19.66514596,100
K027,Aspara,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,Brown Slip,Splashed,,Brown,KAZ6,Tianshan group,5,1.733542495,1.609768959,23.1669175,52.58999364,0.071501228,11.46597791,0.281435477,,0.023642644,0.054301894,5.746956589,0.011861386,0.111948673,,0.00051856,,3.131633051,100
K047,Aktobe,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,White Slip,Monochrome,,Upper,KAZ2,,3,1.830725044,8.703994037,4.586247621,15.37307267,,5.446806455,61.77649363,,,0.12217984,2.037027972,0.020207227,0.086064234,2.51E-05,0.017137705,,1.84E-05,99.99999994
K047,Aktobe,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,White Slip,Monochrome,,,KAZ2,,8,1.10738944,3.913744358,17.50105688,47.13979628,0.63412657,3.488145186,8.547364293,,0.014591511,0.101393087,3.144537185,0.005665637,0.032914559,1.89E-05,0.004482901,,14.36477317,99.99999996
K047,Aktobe,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,White Slip,Monochrome,,Lower,KAZ2,,3,0.834073744,0.847115321,21.56025401,53.24215317,,3.346229113,0.604973348,,,0.004134272,0.731479694,0.018602873,0.109002188,0.001908365,0.010231364,,18.68984253,99.99999999
K048,Aktobe,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,White Slip,Underglaze,,Transparent,KAZ2,Tianshan group,4,0.367575892,0.298494793,12.00246444,64.38221381,0.156042218,2.801961604,0.222579751,,0.008555633,0.008274332,0.484995145,,0.003189935,,0.008398113,,19.25525434,100
K070,Aktobe,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,Black Slip,Underglaze,Y,Black,KAZ2,,5,0.595912495,0.60778598,7.515445769,27.22082164,0.287597465,2.074175042,0.625805197,,0.010641485,15.66054535,38.16667622,0.009156172,0.171982561,1.67E-05,0.000528061,,7.052909858,100
K071,Aktobe,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,White Slip,Underglaze,,,KAZ2,,5,0.496702909,0.820147542,17.50921774,57.61088863,1.157143365,3.151309512,0.608690446,0.530550356,0.006426876,0.012649321,1.044520747,,0.057296557,,0.002236215,,16.99221978,100
K077,Aktobe,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,White Slip,Monochrome,,,KAZ2,,2,0.958164523,0.601133634,22.52884351,40.95816462,0.122255327,2.795816078,1.407322216,1.510850017,0.007875899,0.018128349,1.342828385,,0.015585116,,0,,27.73303233,100
K099,Bektobe,Talas Valley,CAMECA SX100 Ultra electron probe microanalyzer,White Slip,Underglaze,,Upper,KAZ14,,3,0.463536996,0.6582096,17.94400021,54.27451423,0.13358438,1.511655208,5.735900423,0.08542317,0.006654144,0.005359873,0.467637429,,0.04329084,,0.006153725,0,18.66407977,100
K099,Bektobe,Talas Valley,CAMECA SX100 Ultra electron probe microanalyzer,White Slip,Underglaze,,Lower,KAZ14,,3,0.953279668,0.390108943,27.32052726,45.65210716,0.244903889,3.59931741,0.62140357,0.093875532,0.007111397,0.031319929,0.490493389,,0.022659021,,0.014000146,0.017290511,20.54160218,100
K124,Lower Barskhan,Talas Valley,CAMECA SX100 Ultra electron probe microanalyzer,Red Slip,Underglaze,,Red,KAZ3,,3,2.439636001,0.349060504,9.295327192,67.3136415,0.050943112,7.79196771,0.529724546,0.183914697,0.015605543,0.005628576,0.77351477,,0,,0.000942571,0.030258938,11.21983434,100
K124,Lower Barskhan,Talas Valley,CAMECA SX100 Ultra electron probe microanalyzer,Brown Slip,Underglaze,,Brown,KAZ3,,4,1.795919238,1.289539569,22.08802072,44.96977145,0.399085044,6.497983896,1.46673831,1.204211047,0.014563453,1.032214827,4.739893007,,0.007158736,,0.006957597,0.028289401,14.4596537,100
K124,Lower Barskhan,Talas Valley,CAMECA SX100 Ultra electron probe microanalyzer,White Slip,Underglaze,,,KAZ3,,3,1.600360574,0.529668742,19.4173545,57.84524375,0.048168246,4.552160913,0.870045721,0.183415801,0.008516484,0.005905753,0.409150138,,0.004099932,,0.00165744,0.031567843,14.49268416,100
K129,Lower Barskhan,Talas Valley,CAMECA SX100 Ultra electron probe microanalyzer,White Slip,Underglaze,Y,,KAZ3,Tianshan group,4,0.841346477,0.953269973,14.791676,67.11621147,0.110942515,5.514496213,0.60549823,0.427262343,0.020446905,0.009902063,0.503635237,,0.012766936,,0.008222984,0.042142047,9.042180603,100
K134,Kulan,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,White Slip,Underglaze,,,KAZ11,,10,0.589607845,0.504256582,23.94549099,54.51119468,0.097541303,2.382338614,1.264039065,0.112729087,0.011432865,0.004314439,0.137164742,,0.01925766,,0.005242346,0.0070322,16.40835758,100
K142,Tamdy,Tianshan Piedmont,CAMECA SX100 Ultra electron probe microanalyzer,White Slip,Underglaze,,,KAZ10,Tianshan group,5,1.696868257,0.688714173,19.84099139,61.84034198,0.023778062,5.349237649,0.455583615,0.278403384,0.009985803,0.009244658,1.289527584,,0.022117605,,0.013292149,0.037258325,8.444655363,100
K142,Tamdy,Tianshan Piedmont,CAMECA SX100 Ultra electron probe microanalyzer,Black Slip,Underglaze,,Black,KAZ10,Tianshan group,5,0.43635407,0.691002948,13.34542571,65.3442842,0.091519891,3.469939326,0.301928,0.184692905,0.182032657,0.010033764,0.475632583,,0.025271216,,0.004424097,0.026036986,15.41142165,100
K142,Tamdy,Tianshan Piedmont,CAMECA SX100 Ultra electron probe microanalyzer,Red Slip,Underglaze,,Red,KAZ10,Tianshan group,4,0.709974341,0.507513482,27.19676001,41.19984297,0.135159864,4.398289825,0.749274537,0.531401064,0.016182363,0.048066001,7.854372649,,0.004426944,,0.008703733,0.021273273,16.61875894,100
K146,Tamdy,Tianshan Piedmont,CAMECA SX100 Ultra electron probe microanalyzer,White Slip,Monochrome,,,KAZ10,,3,1.608245101,0.506710803,17.72654318,66.72856627,0.073022948,5.536741516,0.739696834,0.306235506,0.008395761,0.005855334,0.415763834,,0.398301489,,0.011013015,0.032926574,5.901981831,100
