Sample,Site,Region,Instrument,Component,Ware,Incision,Glaze_or_slip_color,Provenance,Count,Na2O,MgO,Al2O3,SiO2,P2O5,SO3,K2O,CaO,TiO2,Cr2O3,MnO,FeO,CuO,SnO2,Sb2O3,ZnO,PbO,Total
K231,Arna,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Slip,Splashed,Y,White,KAZ3,5,0.7,0.86,10.31,70.15,0.37,0.27,3.42,0.8,0.33,,,0.738000074,,,,,11.67,99.63
K269,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Splashed,Y,Green,TV1,5,0.15,0.74,2.83,33.79,0.16,,0.64,1.27,0.15,,,0.369000037,1.34,,0.58,,58.01,100
K269,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Slip,Splashed,Y,White,TV1,5,0.7,0.94,11.19,67.89,0.26,,3.71,0.51,0.35,,,0.49500005,,0.21,,,13.27,99.61
K280,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Splashed,Y,Green,KAZ3,5,0.23,0.54,4.87,32.04,,,0.88,1.37,0.15,,,0.405000041,1.46,,,,57.89,100
K280,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Splashed,Y,Transparent,KAZ3,5,0.25,0.62,5.77,37.78,0.12,,1.05,1.24,0.22,,,0.414000041,0.18,,,0.17,52.21,100
K280,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Slip,Splashed,Y,White,KAZ3,5,0.63,0.89,12.78,75.66,0.24,,3.15,1.27,0.47,,,0.459000046,,,,,4.16,99.76
K221,Arna,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,,Brown,,5,0.31,0.56,4.72,35.92,0.11,,1.02,1.1,0.2,,0.22,2.340000234,0.09,,,,53.38,100
K221,Arna,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,,Transparent,,5,0.38,0.36,3.05,33.49,0.11,,0.87,0.98,0.11,,,0.522000052,0.11,,,,59.98,100
K221,Arna,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Slip,Underglaze,,White,,5,0.63,0.49,9.03,78.39,0.38,0.38,2.54,0.9,0.2,,,0.837000084,,,,,5.83,99.56
K249,Talapty,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,Y,Transparent,TV4,5,0.22,0.63,5.47,39.3,0.18,,1.04,1.13,0.22,,,0.360000036,0.25,,,,51.09,100
K249,Talapty,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Slip,Underglaze,Y,White,TV4,5,0.88,0.74,10.25,71.67,,,3.93,0.96,0.39,,,0.468000047,,,,,9.83,99.17
K250,Talapty,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,,Brown,KAZ3,5,0.17,0.59,3.03,34.42,0.11,,0.71,1.24,0.16,,0.18,4.50000045,,,,,54.87,100
K250,Talapty,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,,Red,KAZ3,4,0.1,0.81,4.42,36.62,0.21,,0.6,1.79,0.13,,0.09,1.935000194,,,,,53.17,100
K250,Talapty,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,,Transparent,KAZ3,3,0.12,0.67,5.19,38.22,0.14,,0.76,1.39,0.15,,,1.152000115,,,,,52.15,100
K250,Talapty,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Slip,Underglaze,,White,KAZ3,5,0.72,0.65,11.04,68.57,0.14,,3.35,0.56,0.3,,,0.522000052,,,,,13.75,99.64
K255,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,,Brown,,5,0.18,0.33,3.26,31.22,,,0.59,1.04,,,0.47,1.764000176,0.08,,,,61.1,100
K255,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,,Red,,5,0.09,0.36,3.46,32.11,0.05,,0.55,1.2,0.15,,0.14,1.152000115,,,,,60.64,100
K255,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Slip,Underglaze,,White,,5,0.28,0.25,9.57,69.59,0.5,,2.1,0.35,0.33,,0.11,0.405000041,0.15,,,,16,99.41
K257,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,,Brown,,5,1.02,0.7,5.49,38.29,0.15,,3.36,2.42,0.32,,1.52,8.550000855,0.36,,,0.25,37.7,100
K257,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,,Brown,,5,1.2,0.52,3.79,48.55,0.11,,4.84,1.67,0.28,,,0.558000056,0.21,,,,38.08,100
K257,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Slip,Underglaze,,White,,4,0.91,0.24,14.07,73.11,0.28,,5.71,0.39,0.36,,,0.675000068,,,,,3.55,99.35
K258,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,,Brown,,3,0.38,0.96,5.94,40.6,0.13,,1.15,1.94,0.27,,,1.827000183,0.22,,,,46.38,100
K258,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,,Green,,5,0.24,0.62,3.56,36.1,,,0.71,1.24,0.18,,,0.549000055,0.53,,,,56.03,100
K258,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,,Transparent,,5,0.51,0.56,7.12,43.74,0.09,,1.57,1.38,0.16,,,0.549000055,0.19,,,,44.02,100
K258,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Slip,Underglaze,,White,,5,1.59,0.28,11.14,65.49,0.48,,4.37,0.35,0.19,,,0.333000033,,,,,13.55,97.81
K272,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,,Brown,KAZ3,5,0.12,0.75,4.52,38.28,,,0.72,1.1,0.15,,,3.078000308,,,,,51,100
K272,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,,Red,KAZ3,5,0.23,0.74,11.93,36.34,,,1.74,1.37,0.23,,0.08,2.79900028,0.32,,,,44.03,100
K272,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,,Transparent,KAZ3,3,0.15,0.76,5.32,41.1,0.13,,0.79,1.35,0.12,,,0.585000059,,,,,49.61,100
K272,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Slip,Underglaze,,White,KAZ3,3,0.51,0.92,13.78,67.97,,,3.1,0.37,0.54,,,0.630000063,,,,,11.79,99.68
K273,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,,Transparent,KAZ14,5,0.17,0.38,2.64,33.59,,,0.5,0.66,,,,0.252000025,0.15,,,,61.51,100
K273,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,,Brown,KAZ14,3,0.18,0.47,2.9,36.44,,,0.62,0.75,,,0.83,0.423000042,,,,,57.17,100
K273,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Slip,Underglaze,,White,KAZ14,5,0.66,0.41,13.83,72.04,0.27,,2.77,0.53,0.33,,,0.441000044,,,,,8.18,99.5
K283,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,Y,Red,TV1,5,0.28,0.87,7.82,35.91,0.11,,1.13,1.96,0.36,,,3.033000303,,,,,48.32,100
K283,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,Y,Transparent,TV1,5,0.35,0.54,6.79,41.97,,,1.36,0.68,0.2,,,0.49500005,,,,,47.36,100
K283,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Slip,Underglaze,Y,White,TV1,5,0.76,1.11,12.91,60.21,,,3.13,0.42,0.38,,,0.639000064,,,,,20.1,99.8
K254,Talapty,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Monochrome,Y,Brown,,5,1.53,2.43,11.56,58.05,0.19,0.13,5.81,7.81,0.47,,0.09,3.672000367,1.76,,,,6.14,99.98
