"Sample","Site","Region","Glaze_or_slip_color","Ware","Provenance","Al2O3","As2O3","BaO","CaO","Cl","CoO","Cr2O3","CuO","FeO","K2O","MgO","MnO","MoO3","Na2O","NiO2","P2O5","PbO","Sb2O3","SiO2","SnO2","SO3","TiO2","ZnO","Count"
"TASH040","Tashkent","Chach","ave","Slipware - Qarakhanid","TASH",9.41,NA,NA,3.8,NA,NA,0.0356,0.809,1.72,3.62,0.596,0.302,NA,0.294,NA,1.71,14.7,NA,63,NA,NA,NA,NA,0
"TASH042","Tashkent","Chach","","Slipware - Qarakhanid","TASH",10.5,NA,NA,0.902,NA,NA,0.184,NA,1.69,1.58,0.423,NA,NA,0.469,NA,NA,18.7,NA,65.1,NA,NA,0.478,NA,0
"TASH045","Tashkent","Chach","ave","Slipware - Qarakhanid","TASH",11.7,NA,NA,1,NA,NA,0.11,NA,0.991,1.74,0.853,0.128,NA,0.376,NA,NA,18.1,NA,64.5,NA,NA,0.44,NA,0
"TASH046","Tashkent","Chach","","Slipware - Qarakhanid","N/A",11.7,NA,NA,1.06,NA,NA,NA,0.321,1.65,2.61,0.642,NA,NA,0.642,NA,NA,15.1,NA,66.3,NA,NA,NA,NA,0
"TASH051","Tashkent","Chach","ave","Slipware - Samanid","TASH",15.2,NA,NA,5.98,NA,NA,NA,NA,1.35,2.55,0.609,NA,NA,0.646,NA,0.619,19.8,NA,52.7,NA,NA,0.528,NA,0
"TASH052","Tashkent","Chach","","Slipware - Samanid","N/A",16.9,NA,NA,6.2,NA,NA,NA,NA,0.553,2.91,2.83,NA,NA,0.618,NA,0.313,10.5,NA,56.5,NA,NA,2.6,NA,0
"TASH058","Tashkent","Chach","","Splashed","N/A",9.37,NA,NA,1.28,NA,NA,NA,NA,0.711,3.33,0.96,0.0277,NA,0.369,NA,NA,11.4,NA,72.6,NA,NA,NA,NA,0
"TASH059","Tashkent","Chach","ave","Slipware - Samanid","TASH",15.3,NA,NA,2.26,NA,NA,NA,NA,0.893,4.67,0.488,NA,NA,0.368,NA,NA,9.64,NA,66.4,NA,NA,NA,NA,0
"TASH064","Tashkent","Chach","ave","Slipware - Samanid","N/A",20.6,NA,NA,1.18,NA,NA,NA,NA,8.16,2.66,0.287,4.77,NA,0.629,NA,0.611,12.2,NA,47.6,NA,NA,1.26,NA,0
"TAZ001","Taraz","Talas Valley","ave","Slipware - Qarakhanid","TAZ - Group 3",13.4,NA,NA,2.24,NA,NA,0.599,NA,1.47,2.31,1.05,NA,NA,0.518,NA,NA,26.3,NA,51.5,NA,NA,0.626,NA,0
"TAZ003","Taraz","Talas Valley","ave","Slipware - Qarakhanid","TASH",21.3,NA,NA,2.94,NA,NA,0.0907,0.111,2.49,2.95,1.55,0.0302,NA,0.353,NA,NA,2.55,NA,65.7,NA,NA,NA,NA,0
"TS4","Termez","Transoxiana","","Alkali","Local Group A",15.1,NA,NA,1.41,NA,NA,NA,NA,0.402,6.53,1,NA,NA,5.62,NA,NA,0,NA,70,NA,NA,NA,NA,0
"TS5","Termez","Transoxiana","","Alkali","Local Group A",14.3,NA,NA,3.1,NA,NA,NA,NA,1.3,3.3,0.801,NA,NA,3.6,NA,NA,0,NA,73.6,NA,NA,NA,NA,0
"TS6","Termez","Transoxiana","","Alkali","Local Group A",11.2,NA,NA,2.1,NA,NA,NA,0.999,0.999,6.09,0.699,NA,NA,4.6,NA,NA,0,NA,73.3,NA,NA,NA,NA,0
"TS7","Termez","Transoxiana","","Alkali","Local Group A",12.5,NA,NA,0.3,NA,NA,NA,NA,0.2,4,0.2,NA,NA,3.7,NA,NA,0,NA,79.1,NA,NA,NA,NA,0
"TS8","Termez","Transoxiana","","Alkali","Local Group A",2.3,NA,NA,0.5,NA,NA,NA,0.0999,2.9,2.1,0.3,NA,NA,2.1,NA,NA,0,NA,89.7,NA,NA,NA,NA,0
"Tashkent 10","Tashkent","Chach","","Slipware",NA,17.3,NA,NA,0.998,NA,NA,NA,NA,0,5.29,0.299,NA,NA,0.499,NA,NA,13.3,NA,62.3,NA,NA,0.0998,NA,0
"Tashkent 15","Tashkent","Chach","","Monochrome",NA,11.7,NA,NA,0.9,NA,NA,NA,NA,0.09,4.3,0.5,NA,NA,0.3,NA,NA,12.6,NA,69.4,NA,NA,0.2,NA,0
"Tashkent 18","Tashkent","Chach","","Slipware",NA,18.5,NA,NA,4.2,NA,NA,NA,NA,0.27,3.5,0.7,0,NA,0,NA,0.1,7.6,NA,64.8,NA,NA,0.3,NA,0
"Tashkent 24","Tashkent","Chach","","Slipware",NA,23.8,NA,NA,4.82,NA,NA,NA,NA,5.25,3.92,0.402,1.81,NA,1,NA,3.92,11.7,NA,43.4,NA,0,0,NA,0
"Tashkent 32","Tashkent","Chach","","Slipware",NA,13.8,NA,NA,2.4,NA,NA,0.0826,NA,0.36,3.7,0.5,NA,NA,0.4,NA,1,12,NA,64.8,NA,NA,1,NA,0
