"Sample","Site","Region","Glaze_or_slip_color","Ware","Provenance","Component","Al2O3","As2O3","BaO","CaO","Cl","CoO","Cr2O3","CuO","FeO","K2O","MgO","MnO","MoO3","Na2O","NiO2","P2O5","PbO","Sb2O3","SiO2","SnO2","SO3","TiO2","ZnO","Count"
"BKH21-210-2","Bukhara","Transoxiana","","Slipware - Samanid","BUK","Brown Slip",13.9,NA,NA,6.41,NA,NA,NA,NA,6.71,8.92,NA,2.35,NA,NA,NA,NA,14.7,NA,45.1,NA,NA,1.94,NA,0
"BKH21-210-29","Bukhara","Transoxiana","","Slipware - Samanid","N/A","Brown Slip",20.2,NA,NA,10.7,NA,NA,NA,NA,2.63,3.64,2.61,0.649,NA,1.17,NA,NA,7.69,NA,50.6,NA,NA,0.128,NA,0
"BKH22-138-an","Bukhara","Transoxiana","","Slipware - Samanid","BUK","Brown Slip",13.6,NA,NA,1.16,NA,NA,NA,0.951,9.39,4.21,0.66,6.37,NA,1.32,NA,NA,11.8,NA,50,NA,NA,0.563,NA,0
"BKH22-138-an","Bukhara","Transoxiana","","Slipware - Samanid","BUK","Red Slip",18.2,NA,NA,0.619,NA,NA,NA,0.674,6.3,4.41,0.647,NA,NA,1.23,NA,NA,12.5,NA,54.8,NA,NA,0.674,NA,0
"BKH22-222-y","Bukhara","Transoxiana","","Slipware - Samanid","BUK","Olive Slip",13.6,NA,NA,1.5,NA,NA,8.5,1.73,3.47,2.72,2.71,NA,NA,0.581,NA,0.393,21.9,NA,42.6,NA,NA,0.313,NA,0
"K027","Aspara","Chu Valley","Brown","Splashed","KAZ6","Brown Slip",23.2,NA,NA,0.281,NA,0.0119,0.0236,0.112,5.75,11.5,1.61,0.0543,NA,1.73,NA,0.0715,3.13,NA,52.6,0.000519,NA,NA,NA,5
"K070","Aktobe","Chu Valley","Black","Underglaze","KAZ2","Black Slip",7.52,NA,NA,0.626,NA,0.00916,0.0106,0.172,38.2,2.07,0.608,15.7,1.67e-05,0.596,NA,0.288,7.05,NA,27.2,0.000528,NA,NA,NA,5
"K124","Lower Barskhan","Talas Valley","Brown","Underglaze","TAZ - Group 3","Brown Slip",22.1,NA,NA,1.47,NA,NA,0.0146,0.00716,4.74,6.5,1.29,1.03,NA,1.8,NA,0.399,14.5,0.0283,45,0.00696,NA,1.2,NA,4
"K124","Lower Barskhan","Talas Valley","Red","Underglaze","TAZ - Group 3","Red Slip",9.3,NA,NA,0.53,NA,NA,0.0156,0,0.774,7.79,0.349,0.00563,NA,2.44,NA,0.0509,11.2,0.0303,67.3,0.000943,NA,0.184,NA,3
"K142","Tamdy","Tianshan Piedmont","Black","Underglaze","KAZ10","Black Slip",13.3,NA,NA,0.302,NA,NA,0.182,0.0253,0.476,3.47,0.691,0.01,NA,0.436,NA,0.0915,15.4,0.026,65.3,0.00442,NA,0.185,NA,5
"K142","Tamdy","Tianshan Piedmont","Red","Underglaze","KAZ10","Red Slip",27.2,NA,NA,0.749,NA,NA,0.0162,0.00443,7.85,4.4,0.508,0.0481,NA,0.71,NA,0.135,16.6,0.0213,41.2,0.0087,NA,0.531,NA,4
"K169","Merki","Chu Valley","Brown","Underglaze","KAZ12","Brown Slip",15.7,NA,NA,1.32,NA,NA,0.0215,0.0391,1.68,2.43,0.606,1.59,NA,0.661,NA,0.187,20.5,0.0196,55,0.00633,NA,0.254,NA,5
"K175","Taraz","Talas Valley","Olive","Underglaze","TAZ - Group 3","Olive Slip",9.66,NA,NA,0.673,NA,NA,1.36,0.0436,0.733,1.96,0.824,0.0184,NA,0.381,NA,0.0263,12,0.00475,72.2,0.00266,NA,0.154,NA,6
"K183","Taraz","Talas Valley","Black","Underglaze","KAZ11","Black Slip",4.17,NA,NA,0.623,NA,NA,1.17,0.013,0.593,1.51,0.819,0,NA,0.24,NA,0.106,3.91,0.00422,86.8,0.00654,NA,0.0501,NA,3
"K183","Taraz","Talas Valley","Brown","Underglaze","KAZ11","Brown Slip",11.1,NA,NA,15.9,NA,NA,0.0256,0.0235,11.9,1.91,0.758,0.595,NA,0.865,NA,11.6,15.8,0,29.3,0.00142,NA,0.191,NA,5
"K203","Aktobe","Chu Valley","Brown","Underglaze","KAZ2","Brown Slip",9.65,NA,NA,0.264,NA,NA,0.00503,0.0122,0.444,2.82,0.477,0.00547,NA,0.398,NA,0.0471,9.22,0.00634,76.3,0.00853,NA,0.355,NA,5
"Kuva 12","Kuva","Ferghana Valley","","Slipware",NA,"Brown Slip",11.8,NA,NA,4.51,NA,NA,NA,NA,2.07,4.31,1.4,NA,NA,0.501,NA,NA,15.5,NA,59.6,NA,NA,0.2,NA,0
"Kuva 20","Kuva","Ferghana Valley","","Slipware - Samanid",NA,"Olive Slip",7.3,NA,NA,0.4,NA,NA,0.165,0,0.72,2.4,0.6,NA,NA,0.1,NA,NA,11.4,NA,76.9,NA,NA,NA,NA,0
"TA12","Termez","Transoxiana","","Slipware","Local Group B","Black Slip",17.6,NA,NA,1.31,NA,NA,NA,NA,10.2,4.23,0.504,2.32,NA,1.31,NA,NA,17.6,NA,44.9,NA,NA,NA,NA,0
"TASH012","Tashkent","Chach","","Slipware - Samanid","TASH","Brown Slip",12.8,NA,NA,2.64,NA,NA,NA,NA,2.51,4.56,1.01,0.167,NA,0.826,NA,0.381,13,NA,62.1,NA,NA,0.0743,NA,0
"TASH013","Tashkent","Chach","","Slipware - Samanid","TASH","Brown Slip",12.8,NA,NA,2.26,NA,NA,NA,NA,15.2,5.38,0.261,1.44,NA,0.391,NA,0.13,14.5,NA,46.4,NA,NA,1.26,NA,0
"TASH021","Tashkent","Chach","","Slipware - Samanid","N/A","Red Slip",14.9,NA,NA,1.89,NA,NA,NA,NA,8.11,4.97,0.679,0.856,NA,1.01,NA,0.13,13.4,NA,53.2,NA,NA,0.911,NA,0
"TASH025","Tashkent","Chach","","Slipware - Samanid","TASH","Brown Slip",16.1,NA,NA,1.51,NA,NA,NA,NA,6.46,5.41,0.416,1.95,NA,1.12,NA,0.126,15.5,NA,50.8,NA,NA,0.696,NA,0
"TASH033","Tashkent","Chach","","Slipware - Samanid","TASH","Olive Slip",7.23,NA,NA,0.921,NA,NA,1.07,NA,0,2.02,0.895,1.05,NA,0.239,NA,NA,13.4,NA,71.2,NA,NA,1.98,NA,0
"TASH034","Tashkent","Chach","","Slipware - Samanid","N/A","Olive Slip",8.27,NA,NA,2.54,NA,NA,2.23,NA,0.666,2.84,1.12,NA,NA,0.603,NA,NA,15.6,NA,65.2,NA,NA,0.896,NA,0
