ANID,Alternat_ ID,Site Name,NAA Group,Ware,Ware description,Date,Form,Ce,Co,Cr,Cs,Eu,Fe,Hf,Ni,Rb,Sb,Sc,Sr,Ta,Tb,Th,Zn,Zr,As,La,Lu,Nd,Sm,U,Yb,Al,Ba,Ca,Dy,K,Mn,Na,Ti,V
UZB149,TAZ014,Taraz,TAZ - Group 3,slipware,slipware,Early Islamic,Open Vessel - Unknown,76.32,22.12,119.8,9.14,1.32,49475,4.46,79.8,139.63,5.13,17.74,375.32,1.01,0.83,14.04,145.72,107.43,26.89,38.97,0.4,33.45,6.38,2.92,2.66,84500,744.41,74487,5.03,32801,1258.8,9137.7,4440.3,129.49
UZB150,TAZ016,Taraz,TAZ - Group 3,monochrome,white monochrome with incision,Early Islamic,Open Vessel - Unknown,77.96,19.9,114.64,8.59,1.3,46099,4.99,59.46,136.57,2.42,16.71,241.62,1.05,0.82,14,130.8,116.96,13.14,39.99,0.42,31.59,6.69,2.96,3.15,86085,677.81,45512,5.32,31517,1191,10189,4259.1,115.9
UZB005,BKH20-27-6,Bukhara,unassigned,slipware,polychrome slipware,end of 10th-beginning of 11th c. CE,Open Vessel - Dish,61.02,15.41,107.87,5.56,1.08,39593,4.22,73.24,84.42,2.56,14.7,332.89,0.99,1.11,11.26,92.57,137.8,20.39,30.65,0.35,26.76,5.47,3.34,2.6,76527,586.43,95787,4.31,24011,796.68,8410.9,3759.3,119.84
UZB011,BKH20-42-9,Bukhara,unassigned,slipware,polychrome slipware,beginning of the 11th c. CE,Open Vessel - Unknown,63.54,17.02,95.44,5.89,1.15,40858,4.04,83.58,63.74,2.27,15.18,370.46,1,1.06,11.41,105.15,128.59,18.92,31.67,0.4,30.61,5.67,4.07,2.35,76972,475.85,111150,4.36,18871,900.72,9118.2,3387.2,115.59
UZB012,BKH20-42-15,Bukhara,unassigned,slipware,slipware,end of 10th-early 11th c. CE,Open Vessel - Unknown,65.06,15.67,92.94,7.7,1.18,41390,4.39,66.46,112.8,3.61,15.18,280.77,0.96,0.85,11.66,89.39,110.46,20.3,31.95,0.43,30.67,5.85,3.17,2.97,78295,554.11,79705,5.19,30927,889.16,10104,4032.3,111.65
UZB016,BKH20-66-7,Bukhara,unassigned,kiln furniture,NA,?,Other,63.55,11.91,75.91,10.14,1.12,30233,5.05,0,116.95,2.83,10.65,354,0.99,0.7,10.74,99.22,161.56,15.98,32.18,0.36,26.8,5.6,3.87,2.29,65047,986.41,73621,4.6,28908,745.58,11555,3783.3,90.32
UZB017,BKH20-70-12,Bukhara,unassigned,slipware,slip painted - λ pattern,beginning of 11th c. CE,Open Vessel - Unknown,59.98,13.22,81.67,7.74,1.11,37148,4.04,0,109.66,2.95,13.35,380.04,0.85,0.64,10.77,84.03,118.92,27.9,30.66,0.37,26.95,5.48,3.49,2.68,69679,593.33,105630,4.43,29294,737.62,9084.3,3623.5,113.39
UZB021,BKH20-72-2,Bukhara,unassigned,monochrome,monochrome green,10-11th c. CE,Open Vessel - Unknown,66.01,13.99,94.49,9.2,1.18,37238,4.45,56.85,109.89,3.16,13.38,416.52,1.04,0.75,12.17,91.56,145.79,20.4,32.99,0.37,26.72,5.83,4.58,2.59,72304,920.82,82331,4.45,32683,819.78,10376,3973,99.97
UZB031,BKH20-93-12,Bukhara,unassigned,slipware,polychrome slipware,end of 10th-beginning of 11th c. CE,Open Vessel - Bowl,62.35,13.08,88.34,6.18,1.18,39407,3.87,85.57,93.53,2.18,14.74,522.84,0.96,0.73,11.06,179.09,133.87,18.5,31.36,0.42,27.15,5.6,3.3,2.82,76693,531.47,90658,4.67,33782,757.68,8141.4,3518.2,115.77
UZB037,BKH20-94-2,Bukhara,unassigned,splashed sgraffito,splashed sgraffito,1st half of 10th c. CE,Open Vessel - Bowl,59.95,14.97,89.05,8.74,1.11,38458,4.1,0,101.55,3.31,14.09,381.35,0.87,0.89,10.63,197.83,130.28,18.88,30.53,0.39,28.97,5.28,2.96,2.41,70143,525.03,100640,4.2,24807,754.38,8908.4,3919.3,118.73
UZB038,BKH20-95-4,Bukhara,unassigned,slipware,polychrome painted ware,9th c. CE,Open Vessel - Unknown,64.36,15.25,87.75,8.72,1.19,41229,4.17,37.55,119.68,2.07,15.3,597.31,0.87,0.68,11.37,102.53,108.75,17.04,32.52,0.42,29.55,5.82,5.18,2.86,83529,556.3,72782,4.59,30425,746.14,11466,3876.9,124.57
UZB039,BKH20-98-1,Bukhara,unassigned,slipware,polychrome slipware,end of 10th-beginning of 11th c. CE,Open Vessel - Unknown,60.97,14.7,93.1,6.79,1.1,39715,3.81,0,93.35,2.5,14.6,935.95,0.88,0.69,10.93,101.3,91.06,20.61,29.62,0.33,25.47,5.38,5.31,2.29,74925,513.54,106980,4.35,29671,850.69,10516,3378.2,120.84
UZB052,BKH21-210-6,Bukhara,unassigned,slipware,polychrome slipware,mid-end of the 10th c. CE,Open Vessel - Bowl,62.43,14.86,92.23,7.81,1.14,42059,3.94,57.15,99.93,3.82,14.88,449.54,0.86,0.58,11.4,135.51,113.37,24.59,30.88,0.38,26.79,5.49,3.61,2.68,83261,599.39,90958,4.63,24380,788.9,9557.7,3968.6,123.28
UZB058,BKH22-024-a,Bukhara,unassigned,slipware,polychrome slipware,beginning of 11th c. CE,Open Vessel - Bowl,61.44,10.98,88.29,6.06,1.13,37103,4.45,42.71,95.43,1.77,13.36,658.1,0.92,0.68,10.66,75.43,133.76,44.97,30.12,0.38,27.07,5.71,7.28,2.79,73015,457.08,93203,4.57,30191,849.69,11685,3567.7,91.62
