Sample,Site,Ware,Provenance,Component,Glaze_or_slip_color,Pb,Si,Al,Na,Mg,Ca,Fe,K,Ti,P,Cu,Mn,Cr,Sn,PbO,SiO2,Al2O3,Na2O,MgO,CaO,FeO,K2O,TiO2,P2O5,CuO,MnO,Cr2O3,SnO2
TASH035,Tashkent,Samanid - Slipware,N/A,Red Slip,,19.49,25.11,8.75,0.39,0.45,1.51,3.33,3.75,0.28,0.73,0,,0.67,,20.99,53.72,16.53,0.53,0.75,2.11,4.284000043,4.52,0.47,1.67,,,0.98,
TASH035,Tashkent,Samanid - Slipware,N/A,White Slip,Lower,3.94,33.93,8.83,0.16,0.48,4.52,1.11,2.83,0.28,0.5,0,,0.07,,4.24,72.59,16.68,0.22,0.8,6.32,1.431000014,3.41,0.47,1.15,,,0.1,
TASH035,Tashkent,Samanid - Slipware,N/A,White Slip,,5,33.45,9.7,0.3,0.76,5.13,1.18,2.24,0.1,0.78,0,,0.15,,5.39,71.56,18.33,0.4,1.26,7.18,1.521000015,2.7,0.17,1.79,,,0.22,
TASH035,Tashkent,Samanid - Slipware,N/A,White Slip,,5.71,34.22,9.01,0.35,0.83,4.89,1.09,2.51,0.18,0.61,0.06,,0,,6.15,73.21,17.02,0.47,1.38,6.84,1.404000014,3.02,0.3,1.4,0.08,,,
TASH040,Tashkent,Slipware - Qarakhanid,TASH,White Slip,,14.05,31.75,5.45,0.31,0.39,4.02,1.69,2.85,,0.84,,,0.04,,15.13,67.92,10.3,0.42,0.65,5.62,2.178000022,3.43,,1.92,,,0.06,
TASH040,Tashkent,Slipware - Qarakhanid,TASH,White Slip,,16.7,34.44,5.74,0.17,0.41,2.08,1.31,3.9,,,0.73,0.26,0.01,,17.99,73.68,10.85,0.23,0.68,2.91,1.683000017,4.7,,,0.91,0.34,0.01,
TASH040,Tashkent,Slipware - Qarakhanid,TASH,White Slip,Not under glaze,10.73,35.89,6.77,0.41,0.57,1.71,1.07,1.69,0.58,,,,,,11.56,76.78,12.79,0.55,0.95,2.39,1.377000014,2.04,0.97,,,,,
TASH042,Tashkent,Slipware - Qarakhanid,TASH,Black Slip,,12.9,34.61,5.29,0.01,0.63,0.75,1.67,2.91,0.29,,,0.02,2.46,,13.9,74.04,10,0.01,1.04,1.05,2.151000022,3.51,0.48,,,0.03,3.6,
TASH042,Tashkent,Slipware - Qarakhanid,TASH,White Slip,,18.91,33.06,6.02,0.38,0.28,0.7,1.43,1.43,0.31,,,,0.14,,20.37,70.73,11.37,0.51,0.46,0.98,1.836000018,1.72,0.52,,,,0.2,
TASH045,Tashkent,Slipware - Qarakhanid,TASH,White Slip,,16.6,33.64,5.78,0.28,0.51,0.65,0.66,1.39,,,,0.11,0.08,,17.88,71.97,10.92,0.38,0.85,0.91,0.846000008,1.67,,,,0.14,0.12,
TASH045,Tashkent,Slipware - Qarakhanid,TASH,White Slip,,20.12,32.13,7.69,0.33,0.61,0.9,1.03,1.77,0.29,,,,0,,21.67,68.74,14.53,0.44,1.01,1.26,1.323000013,2.13,0.48,,,,,
TASH046,Tashkent,Slipware - Qarakhanid,N/A,Brown Slip,,16.4,31.51,7.9,0.37,0.47,2.01,1.21,2.53,,,0.61,0.03,0,,17.67,67.41,14.93,0.5,0.78,2.81,1.557000016,3.05,,,0.76,0.04,,
TASH046,Tashkent,Slipware - Qarakhanid,N/A,Olive Slip,,12.06,35.23,4.96,0.14,0.78,0.67,1.41,2.53,0.14,,2.39,,,,12.99,75.37,9.37,0.19,1.29,0.94,1.818000018,3.05,0.23,,2.99,,,
TASH046,Tashkent,Slipware - Qarakhanid,N/A,White Slip,,15.27,33.77,6.72,0.52,0.42,0.83,1.4,2.36,,,0.28,0,0,,16.45,72.25,12.7,0.7,0.7,1.16,1.800000018,2.84,,,0.35,,,
TASH051,Tashkent,Samanid - Slipware,TASH,White Slip,,24.74,20.52,8.94,0.56,0.43,10.89,0.93,1.98,0,0.09,,,,,26.65,43.9,16.89,0.75,0.71,15.24,1.197000012,2.39,,0.21,,,,
TASH051,Tashkent,Samanid - Slipware,TASH,White Slip,Lower,22.51,30.31,7.57,0.16,0.41,2.22,1.08,1.91,0.29,0.44,,,,,24.25,64.84,14.3,0.22,0.68,3.11,1.386000014,2.3,0.48,1.01,,,,
TASH051,Tashkent,Samanid - Slipware,TASH,White Slip,,13.38,30.47,10.01,0.86,0.37,0.98,1.44,3.09,0.4,0.36,,,,,14.41,65.19,18.91,1.16,0.61,1.37,1.854000019,3.72,0.67,0.82,,,,
TASH052,Tashkent,Samanid - Slipware,N/A,Brown Slip,,13.72,24.56,6.96,0.5,0.03,4.91,3.95,4.59,0.52,0.23,,2.2,,,14.78,52.54,13.15,0.67,0.05,6.87,5.085000051,5.53,0.87,0.53,,2.84,,
TASH052,Tashkent,Samanid - Slipware,N/A,White Slip,,10.61,28.65,9.72,0.5,1.85,4.8,0.47,2.62,1.69,0.15,,0,,,11.43,61.29,18.37,0.67,3.07,6.72,0.603000006,3.16,2.82,0.34,,,,
TASH058,Tashkent,Splashed,unassigned,Brown Slip,,12.85,36.7,5.09,0.41,0.68,1.05,0.65,2.53,,,,0.25,,,13.84,78.51,9.62,0.55,1.13,1.47,0.837000008,3.05,,,,0.32,,
TASH058,Tashkent,Splashed,unassigned,White Slip,,11.42,36.75,5.37,0.3,0.63,0.99,0.6,3,,,0,0.02,,,12.3,78.62,10.15,0.4,1.04,1.39,0.774000008,3.61,,,,0.03,,
TASH059,Tashkent,Samanid - Slipware,TASH,Black Slip,,4.97,25.39,7.52,0.99,0.47,2.79,9.82,4.99,0.24,1.01,,1.55,,,5.35,54.32,14.21,1.33,0.78,3.9,12.63600013,6.01,0.4,2.31,,2,,
TASH059,Tashkent,Samanid - Slipware,TASH,Black Slip,,4.97,25.39,7.52,0.99,0.47,2.79,9.82,4.99,0.24,1.01,,1.55,,,5.35,54.32,14.21,1.33,0.78,3.9,12.63600013,6.01,0.4,2.31,,2,,
TASH059,Tashkent,Samanid - Slipware,TASH,White Slip,Lower,5.74,33.34,9.69,0.33,0.42,2.07,0.25,4.77,,,,,,,6.18,71.33,18.31,0.44,0.7,2.9,0.324000003,5.75,,,,,,
TASH059,Tashkent,Samanid - Slipware,TASH,White Slip,,13.7,34.1,7.84,0.26,0.22,1.42,1.26,3.64,,,,,,,14.76,72.95,14.81,0.35,0.36,1.99,1.620000016,4.38,,,,,,
TASH059,Tashkent,Samanid - Slipware,TASH,White Slip,,13.7,34.1,7.84,0.26,0.22,1.42,1.26,3.64,,,,,,,14.76,72.95,14.81,0.35,0.36,1.99,1.620000016,4.38,,,,,,
TASH064,Tashkent,Samanid - Slipware,N/A,Black Slip,,13.31,24.91,7.87,0.67,1.06,3.01,8.8,3.07,0.43,0.1,,2.67,,,14.34,53.29,14.87,0.9,1.76,4.21,11.32200011,3.7,0.72,0.23,,3.45,,
TASH064,Tashkent,Samanid - Slipware,N/A,White Slip,Lower,7.12,22.35,8.12,0.33,0.03,1.04,12.97,2.38,1.13,0,,7.75,,,7.67,47.81,15.34,0.44,0.05,1.46,16.68600017,2.87,1.89,,,10.01,,
TASH064,Tashkent,Samanid - Slipware,N/A,White Slip,,17.32,25.79,15.47,0.68,0.34,0.78,0.75,2.38,0.5,0.29,,0.24,,,18.66,55.17,29.23,0.92,0.56,1.09,0.96300001,2.87,0.83,0.66,,0.31,,
TAZ001,Taraz,Slipware - Qarakhanid,TAZ,Red Slip,,16.58,30.43,8.67,0,0.1,1.78,1.81,4.27,0.17,,,,0.26,,17.86,65.1,16.38,,0.17,2.49,2.331000023,5.14,0.28,,,,0.38,
TAZ001,Taraz,Slipware - Qarakhanid,TAZ,White Slip,,25.4,26.5,6.73,0.71,0.97,2.11,1.4,1.82,0.42,,,,0.37,,27.36,56.69,12.72,0.96,1.61,2.95,1.800000018,2.19,0.7,,,,0.54,
TAZ001,Taraz,Slipware - Qarakhanid,TAZ,White Slip,Lower,29.32,27.36,9.09,0.15,0.44,1.47,1.15,2.48,0,,,,0.54,,31.58,58.53,17.18,0.2,0.73,2.06,1.476000015,2.99,,,,,0.79,
TAZ003,Taraz,Slipware - Qarakhanid,TASH,Brown Slip,,15.2,32.98,7.01,0.21,0.28,1.56,0.9,3.75,,,0,0,0.09,,16.37,70.56,13.24,0.28,0.46,2.18,1.161000012,4.52,,,,,0.13,
TAZ003,Taraz,Slipware - Qarakhanid,TASH,White Slip,Lower,2.24,36.1,8.62,0.06,0.7,2.52,0.76,2.23,,,0.09,0.02,0.06,,2.41,77.23,16.29,0.08,1.16,3.53,0.98100001,2.69,,,0.11,0.03,0.09,
TAZ003,Taraz,Slipware - Qarakhanid,TASH,White Slip,,2.45,24.81,13.73,0.46,1.16,1.65,3.08,2.63,,,,,,,2.64,53.08,25.94,0.62,1.92,2.31,3.96000004,3.17,,,,,,
