Sample,Site,Component,Ware,Incision,Glaze_or_slip_color,Provenance,PbO,SiO2,Al2O3,Na2O,MgO,CaO,FeO,K2O,TiO2,P2O5,SnO2,CuO,MnO,Cr2O3,Sb2O3,NiO2,Total
TASH004,Tashkent,Glaze,Opaque,,White,N/A,33.18578949,51.00493558,2.805207617,4.82871623,1.087868303,2.451759583,,2.027594182,,,2.608129018,,,,,,100
TASH004,Tashkent,Glaze,Opaque,,Brown,N/A,33.46883096,45.52357545,5.42243895,4.729467273,0.841540437,1.971024326,0.979499942,2.339826548,,,0.999721169,,3.615241624,,,,99.89116668
TASH004,Tashkent,Glaze,Opaque,,Green,N/A,39.87208677,41.82208046,3.060107421,3.52844341,0.69683884,2.988821997,0.698426916,2.288413704,,,2.556279464,2.410898031,,,,,99.92239701
TASH006,Tashkent,Glaze,Ishkor,,White,TASH,1.183829116,73.94734891,6.427944694,8.373027443,1.648092719,2.794561686,0.627128653,4.224721259,,,0.70366456,,,,,,99.93031904
TASH006,Tashkent,Glaze,Opaque,,Green,TASH,28.10086856,54.91317008,3.724283443,5.419787227,0.79546879,2.709146824,,2.15376349,,,,2.183511585,,,,,100
TASH008,Tashkent,Glaze,Samanid - Slipware,,Green,TASH,48.98092821,37.3504281,5.658728851,0.676802334,0.657322728,2.428015609,1.031444096,0.944364899,0.382120337,,,1.775239943,,,,,99.88539511
TASH008,Tashkent,Glaze,Samanid - Slipware,,Green,TASH,54.38587166,37.14473807,4.069530598,0.616209801,0.379033634,0.430518243,0.04524833,0.741286577,0.058671212,,,2.123864278,,,,,99.9949724
TASH011,Tashkent,Glaze,Samanid - Slipware,,Transparent,N/A,51.16479349,39.70415942,4.174108389,0.874463981,0.232599797,1.018090898,0.47378009,1.657954837,0.131641411,,,0.515765463,,,,,99.94735778
TASH011,Tashkent,Glaze,Samanid - Slipware,,Brown,N/A,53.80346331,35.20271178,3.702808226,0.487875632,,0.617580437,1.965118224,1.467463116,0.235659561,,,1.558075777,0.740897492,,,,99.78165355
TASH011,Tashkent,Glaze,Samanid - Slipware,,Green,N/A,57.29064409,36.17103544,2.517621376,0.392531428,,0.703774629,0.408771215,1.2330518,,,,1.237150999,,,,,99.95458098
TASH012,Tashkent,Glaze,Samanid - Slipware,,Transparent,N/A,42.25168686,46.39130443,6.823010982,0.685082584,0.931510521,0.773495903,0.344196648,1.761467998,,,,,,,,,99.96175593
TASH012,Tashkent,Glaze,Samanid - Slipware,,Brown,TASH,48.56607338,38.30531144,4.139090893,0.083348607,0.498033284,1.458413147,2.65970503,1.244941679,0.014738053,,,0.442287323,2.292534409,,,,99.70447725
TASH012,Tashkent,Glaze,Samanid - Slipware,,Green,TASH,54.11671531,32.88580623,4.105697271,0.409832686,0.652468418,1.288733613,1.254213535,1.518831604,,,,2.843188047,0.785156239,,,,99.86064295
TASH013,Tashkent,Glaze,Samanid - Slipware,,Transparent,TASH,50.13789399,40.77644325,4.573319272,0.456077817,0.517912016,0.789016264,1.283776711,0.595678652,0.086849117,0.337938274,,,0.302452797,,,,99.85735816
TASH013,Tashkent,Glaze,Samanid - Slipware,,Brown,TASH,50.4151747,40.30924467,3.59815927,,0.145528086,1.375257281,2.190719197,1.035992443,0.029284478,,,,0.657226651,,,,99.75658678
TASH017,Tashkent,Glaze,Samanid - Slipware,,Red,N/A,46.22879363,44.15741354,4.787037859,0.314709629,0.344141186,1.270380509,1.379701897,1.364521553,,,,,,,,,99.8466998
TASH017,Tashkent,Glaze,Samanid - Slipware,,Transparent,N/A,51.4586731,41.77850153,3.52663548,,,1.025112115,1.167197834,0.535829768,0.378361539,,,,,,,,99.87031137
TASH021,Tashkent,Glaze,Samanid - Slipware,,Brown,N/A,44.44984795,43.64080436,4.317566026,0.390954849,0.174893252,0.860813285,2.578486259,1.609233593,,,,,1.690901973,,,,99.71350155
TASH021,Tashkent,Glaze,Samanid - Slipware,,Transparent,N/A,44.77111326,46.51843732,4.774496399,0.178648684,,0.853013508,1.000480306,1.724195129,,,,,0.068450923,,,,99.88883553
TASH025,Tashkent,Glaze,Samanid - Slipware,,Transparent,TASH,51.39414128,41.03329833,3.480461705,0.400110866,,0.891707759,0.617847691,2.113782627,,,,,,,,,99.93135026
TASH025,Tashkent,Glaze,Samanid - Slipware,,Brown,TASH,51.97013452,41.07899747,3.331333909,0.496613388,0.043638472,0.36820412,0.767529993,1.363081052,0.33661757,,,,0.158568408,,,,99.9147189
TASH033,Tashkent,Glaze,Samanid - Slipware,,Transparent,TASH,53.09532906,40.03916637,4.127441806,0.373918903,0.388123867,0.594321962,0.54656376,0.542992241,0.231412725,,,,,,,,99.93927069
TASH033,Tashkent,Glaze,Samanid - Slipware,,Olive,TASH,54.67142164,38.49373617,3.647868792,0.166368137,0.248525058,0.740102081,0.646597892,0.700888432,0.264761258,,,,,0.347886336,,,99.9281558
TASH034,Tashkent,Glaze,Samanid - Slipware,,Red,N/A,51.79250488,41.97982621,2.984416933,,,0.959313331,1.273084684,0.637716722,0.231683405,,,,,,,,99.85854617
TASH034,Tashkent,Glaze,Samanid - Slipware,,Transparent,N/A,52.9598866,41.98512304,3.207755088,0.01185744,,0.590786295,0.418803162,0.720547588,0.058707113,,,,,,,,99.95346633
TASH034,Tashkent,Glaze,Samanid - Slipware,,Olive,N/A,53.26941214,41.5972326,2.884300149,,,0.500416408,0.71836756,0.640976491,0.130988072,,,,,0.178487971,,,99.92018139
TASH035,Tashkent,Glaze,Samanid - Slipware,,Olive,N/A,51.95062286,38.35939388,4.403347918,0.347761892,0.641730074,1.371714858,0.343036031,1.636743632,,0.413803488,,0.053823871,,0.439906387,,,99.96188489
TASH035,Tashkent,Glaze,Samanid - Slipware,,Transparent,N/A,55.52675117,37.66642218,3.925208191,0.431718047,0.545457879,0.617684796,0.534634557,0.37537368,,0.317345672,,,,,,,99.94059617
TASH035,Tashkent,Glaze,Samanid - Slipware,,Red,N/A,55.87418446,38.19191851,3.220308919,,0.160256133,0.725258951,0.180875658,0.497397417,,,,0.307925074,,0.821777586,,,99.97990271
TASH040,Tashkent,Glaze,Slipware - Qarakhanid,,Black,TASH,51.46435787,33.15094597,4.129833907,,0.191543315,2.063720354,6.997021934,0.770619221,,,,,,0.454510621,,,99.22255319
TASH040,Tashkent,Glaze,Slipware - Qarakhanid,,Yellow,TASH,53.233786,38.74573578,3.903665423,0.142210936,0.306161226,0.93489664,0.735330224,0.995502699,,,,0.550257471,0.3065032,0.064247058,,,99.91829666
TASH042,Tashkent,Glaze,Slipware - Qarakhanid,,Brown,TASH,56.71469592,37.08457275,3.111297716,0.310276582,0.616600801,0.631748301,0.558198983,0.34126242,,,,,,0.569324424,,,99.9379779
TASH042,Tashkent,Glaze,Slipware - Qarakhanid,,Yellow,TASH,61.59888316,33.2405038,2.960818437,0.346085602,0.411076556,0.743250211,0.193665279,0.277282027,0.103400678,,,,,0.103515888,,,99.97848164
TASH045,Tashkent,Glaze,Slipware - Qarakhanid,,Yellow,TASH,58.57211721,35.67662005,3.246768086,,0.177174564,0.921872712,0.51555002,0.654234823,0.074276392,,,,,0.104102812,,,99.94271667
TASH045,Tashkent,Glaze,Slipware - Qarakhanid,,Brown,TASH,59.20506047,34.77570156,3.481717304,0.311992054,0.47238849,0.709975393,0.630013977,0.343149208,,,,,,,,,99.92999846
TASH046,Tashkent,Glaze,Slipware - Qarakhanid,,Brown,N/A,55.69678036,36.22935053,4.00378936,0.059508227,,0.803005679,1.590568399,0.93594971,,,,0.276306566,0.228011367,,,,99.8232702
TASH046,Tashkent,Glaze,Slipware - Qarakhanid,,Yellow,N/A,56.91394391,37.31733582,4.160844334,0.058664852,0.562926537,0.267934667,0.28000468,0.178245975,,,,,,0.2289876,,,99.96888838
TASH046,Tashkent,Glaze,Slipware - Qarakhanid,,Olive,N/A,57.15287153,36.54624587,3.082711716,,1.023729911,0.715705672,0.431230148,0.329331097,,,,,,0.670259597,,,99.95208554
TASH051,Tashkent,Glaze,Samanid - Slipware,,Brown,TASH,39.61755128,44.55098385,6.786721187,1.051025329,0.915256599,3.799995881,1.431674227,1.466901031,,0.220815715,,,,,,,99.8409251
TASH051,Tashkent,Glaze,Samanid - Slipware,,Transparent,TASH,41.52549444,45.98759634,6.785957759,0.93239032,0.441167541,1.426918767,0.456436593,2.136466005,0.073979769,0.182877291,,,,,,,99.94928483
TASH051,Tashkent,Glaze,Samanid - Slipware,,Black,TASH,48.99078288,36.44414369,6.635401789,0.518132547,0.405625614,0.757841079,4.856118254,0.852385501,,,,,,,,,99.46043135
TASH052,Tashkent,Glaze,Samanid - Slipware,,Transparent,N/A,41.46807851,48.18085756,5.296414943,0.117347314,0.577447213,1.839282161,0.011201868,1.898080239,0.610045541,,,,,,,,99.99875535
TASH052,Tashkent,Glaze,Samanid - Slipware,,Brown,N/A,45.33476715,44.4751965,4.808722507,,,0.856603902,1.631808024,1.148346861,0.321030463,,,,1.242212615,,,,99.81868802
TASH058,Tashkent,Glaze,Splashed,Y,Transparent,Outlier,43.23689826,41.32974821,6.603287666,0.571022595,1.039081346,3.939136182,1.578498474,1.243829221,,0.283109348,,,,,,,99.8246113
TASH058,Tashkent,Glaze,Splashed,Y,Green,Outlier,55.51890838,36.4503915,2.19415924,0.203138758,0.279303653,1.227940498,0.307981725,0.565955884,,,,3.218000173,,,,,99.96577981
TASH058,Tashkent,Glaze,Splashed,Y,Brown,Outlier,58.12954553,35.33837147,1.806369873,,,1.523467936,1.002374322,0.362553169,,,,,1.72594279,,,,99.88862509
TASH059,Tashkent,Black Slip,Samanid - Slipware,,Black,TASH,5.115109193,51.89722596,13.57523379,1.275004437,0.744652245,3.72974346,12.07272476,5.743014131,0.382584662,2.211118372,,,1.912175273,,,,98.65858628
TASH059,Tashkent,Glaze,Samanid - Slipware,,Transparent,TASH,50.60756968,43.03517624,3.626751255,0.382889865,0.314023215,0.626269889,0.398730761,0.964285681,,,,,,,,,99.95569659
TASH060,Tashkent,Glaze,Samanid - Slipware,,Transparent,N/A,50.47842638,41.21616748,3.62528876,0.587809976,0.361564764,1.244701968,0.572340442,1.271203724,0.145514664,,,,,0.433388471,,,99.93640663
TASH060,Tashkent,Glaze,Samanid - Slipware,,Red,N/A,51.49906463,40.89625058,3.004385083,0.400414827,0.173856777,1.222445454,0.865643892,1.841756113,,,,,,,,,99.90381736
TASH064,Tashkent,Glaze,Samanid - Slipware,,Black,N/A,47.27171315,43.25520889,4.785426916,0.418044855,0.571425368,0.49419972,1.45214167,0.570749986,0.229974761,,,,0.789765629,,,,99.83865094
TASH064,Tashkent,Glaze,Samanid - Slipware,,Transparent,N/A,50.63819681,42.2037684,4.577149955,,0.158383447,0.72893276,0.279315657,0.84719975,0.536018153,,,,,,,,99.96896493
TAZ001,Taraz,Glaze,Slipware - Qarakhanid,,Red,TAZ,52.9595939,36.16325183,4.754028013,0.687650533,0.931983604,1.742113798,1.479737647,0.864483487,,,,,,0.252741906,,,99.83558472
TAZ001,Taraz,Glaze,Slipware - Qarakhanid,,Transparent,TAZ,57.05186105,35.62974171,3.44666503,,,1.619775982,0.81251722,0.866282333,0.482876999,,,,,,,,99.90972032
TAZ003,Taraz,Glaze,Slipware - Qarakhanid,,Brown,TASH,55.63839092,36.45554025,3.349658306,0.107002515,0.468037441,1.505599846,0.397225233,0.690601741,,,,0.67348124,,0.670326374,,,99.95586387
TAZ003,Taraz,Glaze,Slipware - Qarakhanid,,Red,TASH,59.11157176,33.52831013,4.714344428,,0.41228657,1.143004913,0.914048647,0.074872596,,,,,,,,,99.89843904
TAZ006,Taraz,Glaze,Slipware - Qarakhanid,,Brown,TASH,56.29205084,37.00135792,3.201185592,0.20221137,0.556057099,0.753155654,0.783471224,0.329519546,,,,0.187780186,,0.606158216,,,99.91294765
TAZ006,Taraz,Glaze,Slipware - Qarakhanid,,Yellow,TASH,58.77920739,35.40525044,3.192441385,0.095897292,0.206454111,0.995415958,0.537813283,0.621308345,,,,,,,0.106454772,,99.94024298
