"Sample","Site","Region","Glaze_or_slip_color","Ware","Provenance","Al2O3","As2O3","BaO","CaO","Cl","CoO","Cr2O3","CuO","FeO","K2O","MgO","MnO","MoO3","Na2O","NiO2","P2O5","PbO","Sb2O3","SiO2","SnO2","SO3","TiO2","ZnO","Count","alkali","Ware_type"
"DK26","Dandanakan","Merv Oasis","Blue","Monochrome","Quartz",2.5525,0.467,NA,5.0825,NA,0.6005,NA,NA,2.16,1.55,3.78,0.267,NA,11.1475,NA,NA,7.9275,NA,64.8,NA,NA,0.124975,NA,0,24.1125,"Transparent"
"K007","Lower Barskhan","Talas Valley","Green","Splashed","TAZ - Group 3",2.23,NA,NA,1.34,NA,0.0153,0.0124,2.35,0.55,0.395,0.437,0.00536,NA,0.203,NA,0.208,66.6,NA,25.6,0.0687,NA,NA,NA,5,4.605,"Transparent"
"K007","Lower Barskhan","Talas Valley","Yellow","Splashed","TAZ - Group 3",2.51,NA,NA,1.21,NA,0.00551,0.0145,0.265,0.536,0.544,0.44,0.0259,NA,0.119,NA,0.128,62.9,NA,31.3,0.00466,NA,NA,NA,5,4.823,"Transparent"
"K008","Lower Barskhan","Talas Valley","White","Opaque","",4.74,NA,NA,4.29,NA,0.00701,0.00399,0.346,0.639,10.3,1.81,0.0326,NA,4.05,NA,0.718,14,NA,59,0.0248,NA,NA,NA,5,25.19,"Opaque"
"K009","Lower Barskhan","Talas Valley","Yellow","Underglaze","TAZ - Group 3",4.71,NA,NA,1.11,NA,0.0198,0.183,0.0837,0.628,0.873,0.498,0.0169,NA,0.28,NA,0.0952,56,NA,35.5,0.0025,NA,NA,NA,5,7.471,"Transparent"
"K018","Kulan","Chu Valley","Green","Monochrome","TAZ - Group 3",4.66,NA,NA,1.32,NA,0.00786,0.00733,0.771,1.22,0.297,0.363,0.103,NA,0.0572,NA,0.12,54.4,NA,36.7,0.00277,NA,NA,NA,11,6.6972,"Transparent"
"K026","Aspara","Chu Valley","White","Alkali","KAZ6",2.08,NA,NA,4.49,NA,1.31e-05,0.012,1.31,0.922,5.41,2.89,0.389,NA,10.5,NA,0.243,0.0809,NA,71.6,0.00503,NA,NA,NA,3,25.37,"Opaque"
"K027","Aspara","Chu Valley","Brown","Splashed","KAZ6",2.82,NA,NA,1.58,NA,0.0108,0.133,0.0223,0.701,1.42,0.358,0.697,NA,0.556,NA,0.0794,61.3,NA,30.3,1.32e-05,NA,NA,NA,5,6.734,"Transparent"
"K027","Aspara","Chu Valley","Yellow","Splashed","KAZ6",2.89,NA,NA,1.29,NA,0.00631,0.151,0.0433,0.313,2.35,0.285,0.00793,NA,0.867,NA,0.0864,56.9,NA,34.8,0.00207,NA,NA,NA,5,7.682,"Transparent"
"K028","Aspara","Chu Valley","Green","Monochrome","KAZ6",2.4,NA,NA,0.911,NA,0.0153,0.0146,1.41,0.278,0.552,0.262,0.0228,NA,0.246,NA,0.122,60.6,NA,33.2,1.31e-05,NA,NA,NA,5,4.371,"Transparent"
"K029","Aspara","Chu Valley","Blue","Alkali","",2.82,NA,NA,2.22,NA,0.729,NA,0.268,1.21,1.07,0.997,0.0325,1.52e-05,3.77,NA,NA,36.7,NA,48.2,1.95,NA,NA,NA,6,10.877,"Opaque"
"K047","Aktobe","Chu Valley","Yellow","Monochrome","KAZ2",4.35,NA,NA,0.839,NA,0.00218,0.00295,0.0469,0.539,0.732,0.356,0.00253,1.5e-05,0.207,NA,0.141,50.4,NA,42.4,0.00904,NA,NA,NA,5,6.484,"Transparent"
"K048","Aktobe","Chu Valley","Transparent","Underglaze","KAZ2",2.78,NA,NA,2.33,NA,NA,0.00503,0.156,0.35,0.59,0.206,0.014,NA,0.185,NA,0.0798,55.3,NA,38,0.0208,NA,NA,NA,5,6.091,"Transparent"
"K050","Aktobe","Chu Valley","Green","Monochrome","KAZ2",2.2,NA,NA,1.14,NA,0.0223,NA,0.114,0.255,0.0769,0.121,0.011,1.56e-05,0.0608,NA,NA,67.3,NA,28.7,0.0105,NA,NA,NA,10,3.5987,"Transparent"
"K066","Aktobe","Chu Valley","Yellow","Monochrome","TAZ - Group 3",3.01,NA,NA,0.781,NA,0.0226,NA,0.0497,0.506,0.111,0.167,0.0165,1.51e-05,0.0495,NA,NA,62.2,NA,33.1,1.31e-05,NA,NA,NA,5,4.1185,"Transparent"
"K068","Aktobe","Chu Valley","Green","Splashed","",5.38,NA,NA,2.43,NA,0.00472,0.00508,2.01,0.654,1.48,0.485,0.0347,NA,0.66,NA,0.114,42.3,NA,44.4,0.00451,NA,NA,NA,12,10.435,"Transparent"
"K069","Aktobe","Chu Valley","Black","Underglaze","KAZ14",3.69,NA,NA,2.02,NA,0.00843,0.00502,0.0237,4.49,0.825,0.625,2.62,1.52e-05,0.294,NA,0.147,47.9,NA,37.3,1.32e-05,NA,NA,NA,4,7.454,"Transparent"
"K069","Aktobe","Chu Valley","Transparent","Underglaze","KAZ14",3.36,NA,NA,1.84,NA,0.00542,0.011,0.0482,0.405,0.707,0.628,0.0279,1.51e-05,0.304,NA,0.169,51.5,NA,41,0.00868,NA,NA,NA,4,6.839,"Transparent"
"K070","Aktobe","Chu Valley","Black","Underglaze","KAZ2",4.79,NA,NA,1.07,NA,0.00638,0.00221,0.0254,3.32,1.16,0.5,1.7,1.5e-05,0.269,NA,0.139,45,NA,42,0.00657,NA,NA,NA,7,7.789,"Transparent"
"K070","Aktobe","Chu Valley","Transparent","Underglaze","KAZ2",4.09,NA,NA,0.868,NA,0.00699,0.00997,0.0147,0.43,0.823,0.478,0.0942,1.49e-05,0.2,NA,0.0791,47.9,NA,45,0.005,NA,NA,NA,5,6.459,"Transparent"
"K071","Aktobe","Chu Valley","Brown","Underglaze","KAZ2",5.11,NA,NA,0.725,NA,NA,0.0143,0.483,1.19,0.842,0.384,0.0607,NA,0.246,NA,0.0874,55.2,NA,35.4,0.00693,NA,0.215,NA,6,7.307,"Transparent"
"K071","Aktobe","Chu Valley","Transparent","Underglaze","KAZ2",4.75,NA,NA,0.793,NA,NA,0.0127,0.485,1.01,0.798,0.383,0.0753,NA,0.242,NA,0.0884,55,NA,36.2,0.00496,NA,0.195,NA,5,6.966,"Transparent"
"K072","Aktobe","Chu Valley","Transparent","Underglaze","TAZ - Group 3",3.7,NA,NA,1.28,NA,NA,0.0158,0.0789,1.47,0.95,0.758,0.61,NA,0.287,NA,0.105,49.6,0,40.9,0.00362,NA,0.199,NA,8,6.975,"Transparent"
"K077","Aktobe","Chu Valley","Brown","Monochrome","KAZ2",7.76,NA,NA,1.93,NA,NA,0.00682,0.067,0.664,1.13,0.463,0.0305,NA,0.558,NA,0.188,50.8,NA,36.1,0.00899,NA,0.305,NA,2,11.841,"Transparent"
"K077","Aktobe","Chu Valley","Transparent","Monochrome","KAZ2",6.89,NA,NA,1.3,NA,NA,0.0109,0.0545,0.516,0.681,0.319,0.0169,NA,0.226,NA,0.148,57.7,NA,32,0.00285,NA,0.106,NA,5,9.416,"Transparent"
"K088","Tamdy","Tianshan Piedmont","Yellow","Monochrome","KAZ11",4.1,NA,NA,2.23,NA,0.0204,NA,0.0664,0.269,0.698,0.337,0.017,1.51e-05,0.206,NA,NA,56.7,NA,35.4,0.00977,NA,NA,NA,5,7.571,"Transparent"
"K090","Tamdy","Tianshan Piedmont","Brown","Underglaze","TAZ - Group 3",4.64,NA,NA,1.09,NA,0.0154,NA,0.0445,0.473,4.51,0.506,0.0369,1.54e-05,1.72,NA,NA,43,NA,44,0.00247,NA,NA,NA,5,12.466,"Transparent"
"K099","Bektobe","Talas Valley","Transparent","Underglaze","KAZ14",4.58,NA,NA,0.966,NA,NA,0.00757,0.0492,0.306,0.584,0.502,0.0173,NA,0.17,NA,0.0691,48.5,0.0479,44.1,0.000316,NA,0.115,NA,5,6.802,"Transparent"
"K100","Bektobe","Talas Valley","Brown","Underglaze","TAZ - Group 3",4.76,NA,NA,1.5,NA,0.0186,NA,0.0567,0.472,3.23,0.687,0.0271,0.00289,1.3,NA,NA,39.3,NA,48.6,0.00565,NA,NA,NA,5,11.477,"Transparent"
"K124","Lower Barskhan","Talas Valley","Brown","Underglaze","TAZ - Group 3",3.08,NA,NA,1.18,NA,NA,0.013,0.0358,1.61,0.908,0.642,0.608,NA,0.372,NA,0.138,51.9,0.00082,39.3,0.00597,NA,0.206,NA,5,6.182,"Transparent"
"K124","Lower Barskhan","Talas Valley","Red","Underglaze","TAZ - Group 3",2.7,NA,NA,1.12,NA,NA,0.00835,0.0241,0.521,0.72,0.509,0.0279,NA,0.344,NA,0.135,55.4,0.000587,38.3,0.00159,NA,0.174,NA,5,5.393,"Transparent"
"K129","Lower Barskhan","Talas Valley","Red","Underglaze","TAZ - Group 3",3.37,NA,NA,1.16,NA,NA,0.00951,0.142,3.52,0.799,0.534,0.0678,NA,0.257,NA,0.113,62.1,0.00862,27.8,0,NA,0.124,NA,3,6.12,"Transparent"
"K129","Lower Barskhan","Talas Valley","Transparent","Underglaze","TAZ - Group 3",3.87,NA,NA,0.995,NA,NA,0.00684,0.124,1.57,0.923,0.532,0.0354,NA,0.244,NA,0.0941,58.8,0.00211,32.6,0.00174,NA,0.125,NA,4,6.564,"Transparent"
"K129","Lower Barskhan","Talas Valley","Yellow","Underglaze","TAZ - Group 3",3.33,NA,NA,1.02,NA,NA,0.00549,0.132,3.54,0.718,0.518,0.075,NA,0.254,NA,0.125,60.7,0,29.4,0.00564,NA,0.128,NA,5,5.84,"Transparent"
"K134","Kulan","Chu Valley","Transparent","Underglaze","KAZ11",4.36,NA,NA,0.448,NA,NA,0.00781,0.0713,0.275,0.607,0.151,0.0163,NA,0.181,NA,0.0313,53.4,0.0355,40.3,0.00649,NA,0.0421,NA,5,5.747,"Transparent"
"K134","Kulan","Chu Valley","Yellow","Underglaze","KAZ11",3.5,NA,NA,0.524,NA,NA,0.0125,0.072,1.24,0.65,0.132,0.0113,NA,0.22,NA,0.0156,56.6,0.0237,37,0.00762,NA,0.0601,NA,5,5.026,"Transparent"
"K142","Tamdy","Tianshan Piedmont","Black","Underglaze","KAZ10",2.65,NA,NA,2.57,NA,NA,0.152,0.0439,0.766,0.485,0.564,0.00977,NA,0.13,NA,0.18,55.9,0,36.5,0.00397,NA,0.0916,NA,5,6.399,"Transparent"
"K142","Tamdy","Tianshan Piedmont","Red","Underglaze","KAZ10",5.39,NA,NA,2.68,NA,NA,0.0483,0.0236,2.02,0.501,0.4,0.0144,NA,0.127,NA,0.189,55.9,0,32.5,0.00388,NA,0.195,NA,3,9.098,"Transparent"
"K142","Tamdy","Tianshan Piedmont","Transparent","Underglaze","KAZ10",4.47,NA,NA,2.47,NA,NA,0.0116,0.0205,0.367,1.05,0.455,0.0129,NA,0.352,NA,0.158,50,0.00153,40.5,0.0101,NA,0.102,NA,5,8.797,"Transparent"
"K146","Tamdy","Tianshan Piedmont","Green","Monochrome","KAZ10",4.59,NA,NA,1.73,NA,NA,0.00779,3.17,0.398,1.24,0.442,0.00961,NA,0.45,NA,0.0723,49,0.0386,38.7,0.00274,NA,0.119,NA,5,8.452,"Transparent"
"K149","Bektobe","Talas Valley","Black","Underglaze","TAZ - Group 3",4.16,NA,NA,0.555,NA,NA,0.0105,0.0221,2.22,0.66,0.294,1.41,NA,0.185,NA,0.129,56.1,0.0376,34,0.00121,NA,0.211,NA,5,5.854,"Transparent"
"K149","Bektobe","Talas Valley","Transparent","Underglaze","TAZ - Group 3",3.54,NA,NA,0.528,NA,NA,0.00976,0.0412,0.215,1.07,0.293,0.00763,NA,0.365,NA,0.0626,55.6,0.0565,38.1,0.00553,NA,0.0777,NA,5,5.796,"Transparent"
"K151","Bektobe","Talas Valley","Brown","Underglaze","KAZ12",2.97,NA,NA,0.947,NA,NA,0.00976,0.0474,0.294,0.396,0.382,0.0186,NA,0.175,NA,0.0869,56.5,0,37.9,0.00184,NA,0.224,NA,5,4.87,"Transparent"
"K156","Bektobe","Talas Valley","Green","Underglaze","KAZ12",3.73,NA,NA,1.46,NA,NA,0.0121,3.82,1.45,0.901,0.788,0.021,NA,0.393,NA,0.13,48.9,0.0266,38.3,0.00481,NA,0.065,NA,5,7.272,"Transparent"
"K156","Bektobe","Talas Valley","Transparent","Underglaze","KAZ12",6.17,NA,NA,1.15,NA,NA,0.00331,1.47,1.16,1.71,0.725,0.0195,NA,0.547,NA,0.115,39.6,0.0154,47.2,0.000552,NA,0.0999,NA,3,10.302,"Transparent"
"K169","Merki","Chu Valley","Brown","Underglaze","KAZ12",2.82,NA,NA,1.48,NA,NA,0.0108,0.0302,0.905,0.405,0.632,0.65,NA,0.149,NA,0.0678,54.4,0,38.4,0.00103,NA,0.0492,NA,5,5.486,"Transparent"
"K169","Merki","Chu Valley","Transparent","Underglaze","KAZ12",2.94,NA,NA,1.45,NA,NA,0.004,0.0129,0.371,0.412,0.567,0.00969,NA,0.193,NA,0.0716,55.3,0,38.6,0.00336,NA,0.0427,NA,5,5.562,"Transparent"
"K175","Taraz","Talas Valley","Olive","Underglaze","TAZ - Group 3",2.68,NA,NA,0.623,NA,NA,0.231,0.0266,0.394,0.423,0.26,0.00787,NA,0.154,NA,0.0294,59.6,0.00194,35.5,0.00688,NA,0.0309,NA,5,4.14,"Transparent"
"K175","Taraz","Talas Valley","Transparent","Underglaze","TAZ - Group 3",2.78,NA,NA,0.4,NA,NA,0.012,0.0556,0.176,0.346,0.13,0.00269,NA,0.137,NA,0.0214,59.4,0.0193,36.5,0.00018,NA,0.0358,NA,5,3.793,"Transparent"
"K175","Taraz","Talas Valley","Yellow","Underglaze","TAZ - Group 3",2.55,NA,NA,0.453,NA,NA,0.0177,0.0822,0.15,0.337,0.119,0.00738,NA,0.111,NA,0.0373,61.1,0.0134,35,0.0132,NA,0.0321,NA,5,3.57,"Transparent"
"K176","Taraz","Talas Valley","Brown","Underglaze","TAZ - Group 3",4.67,NA,NA,1.41,NA,NA,0.153,0.0287,0.825,0.772,0.769,0,NA,0.314,NA,0.0975,51,0,39.8,0.0034,NA,0.174,NA,4,7.935,"Transparent"
"K181","Taraz","Talas Valley","Brown","Underglaze","KAZ10",3.42,NA,NA,0.449,NA,NA,0.0261,0.0661,3.2,0.554,0.245,1.7,NA,0.12,NA,0.0677,54.9,0.00521,35.2,0.00163,NA,0.0477,NA,3,4.788,"Transparent"
"K181","Taraz","Talas Valley","Olive","Underglaze","KAZ10",2.55,NA,NA,0.382,NA,NA,0.352,0.0401,0.447,0.368,0.278,0.003,NA,0.1,NA,0.027,59.5,0.00398,36,0.000537,NA,0.0313,NA,5,3.678,"Transparent"
"K181","Taraz","Talas Valley","Yellow","Underglaze","KAZ10",2.63,NA,NA,0.467,NA,NA,0.142,0.0472,0.246,0.364,0.214,0.00706,NA,0.101,NA,0.0274,59.5,0.00229,36.2,0.00437,NA,0.0479,NA,3,3.776,"Transparent"
"K183","Taraz","Talas Valley","Black","Underglaze","KAZ11",2.7,NA,NA,0.665,NA,NA,0.175,0.0145,0.417,0.73,0.228,0.00361,NA,0.36,NA,0.0355,58.8,0.0114,35.8,0.00948,NA,0.0376,NA,5,4.683,"Transparent"
"K183","Taraz","Talas Valley","Yellow","Underglaze","KAZ11",2.73,NA,NA,0.652,NA,NA,0.0704,0.0131,0.758,0.793,0.217,0.0348,NA,0.345,NA,0.028,57.7,0.00766,36.6,0.0121,NA,0.0443,NA,10,4.737,"Transparent"
"K193","Akyrtas","Talas Valley","Green","Monochrome","KAZ2",5.7,NA,NA,0.378,NA,NA,0.0134,0.788,0.488,0.38,0.313,0.00456,NA,0.241,NA,0.119,63.3,0.00543,28.1,0.0602,NA,0.128,NA,5,7.012,"Transparent"
"K198","Aktobe","Chu Valley","Transparent","Monochrome","KAZ14",2.97,NA,NA,2.4,NA,NA,0.0122,0.0831,0.374,0.497,0.618,0.0149,NA,0.256,NA,0.114,56.3,NA,36.2,0.000992,NA,0.117,NA,5,6.741,"Transparent"
"K199","Aktobe","Chu Valley","Brown","Underglaze","KAZ14",4.79,NA,NA,1.27,NA,NA,0.0163,0.0527,3.52,0.605,0.607,0.558,NA,0.325,NA,0.073,55.3,0.147,32.6,0.0032,NA,0.216,NA,5,7.597,"Transparent"
"K199","Aktobe","Chu Valley","Transparent","Underglaze","KAZ14",4.14,NA,NA,0.802,NA,NA,0.00973,0.0349,0.461,0.509,0.393,0.0127,NA,0.291,NA,0.0521,55.4,0.159,37.6,0.0107,NA,0.122,NA,5,6.135,"Transparent"
"K200","Aktobe","Chu Valley","Transparent","Monochrome","KAZ2",3.51,NA,NA,0.506,NA,NA,0.00746,0.117,0.226,0.663,0.191,0.00441,NA,0.266,NA,0.0537,60.8,0.00436,33.5,0.00949,NA,0.133,NA,5,5.136,"Transparent"
"K201","Aktobe","Chu Valley","Green","Underglaze","KAZ2",3.52,NA,NA,0.826,NA,NA,0.00845,0.0863,0.269,0.473,0.243,0.0198,NA,0.175,NA,0.0563,59.4,0,34.8,0.00231,NA,0.143,NA,5,5.237,"Transparent"
"K203","Aktobe","Chu Valley","Brown","Underglaze","KAZ2",3.42,NA,NA,0.745,NA,NA,0.0162,0.098,0.418,0.983,0.353,0.0203,NA,0.329,NA,0.0951,55.8,0.00162,37.5,0.0543,NA,0.201,NA,5,5.83,"Transparent"
"K203","Aktobe","Chu Valley","Transparent","Underglaze","KAZ2",3.57,NA,NA,0.71,NA,NA,0.00868,0.105,0.425,0.892,0.328,0.00364,NA,0.297,NA,0.0951,55.2,0.00128,38.1,0.0597,NA,0.198,NA,5,5.797,"Transparent"
"K205","Sayram","Chach","Green","Opaque","KAZ11",3.51,NA,NA,2.67,NA,NA,0.0059,3.97,0.413,2.27,0.74,0.107,NA,3.46,NA,0.208,38.7,0.194,43.4,0.288,NA,0.0582,NA,5,12.65,"Opaque"
"K205","Sayram","Chach","White","Opaque","KAZ11",5.83,NA,NA,4.14,NA,NA,0.00731,0.0909,0.67,5.73,2.2,0.375,NA,6.17,NA,0.29,8.25,0.000457,65.5,0.648,NA,0.0981,NA,5,24.07,"Opaque"
"K212","Lower Barskhan","Talas Valley","Yellow","Monochrome","KAZ14",4.78,NA,NA,1.9,NA,NA,0.00853,0.191,0.445,0.859,0.704,0.0122,NA,0.223,NA,0.113,45.5,0.361,43.7,0.864,NA,0.254,NA,5,8.466,"Transparent"
"K215","Arna","Talas Valley","Yellow","Monochrome","TV4",6.31,NA,NA,1.79,NA,NA,NA,NA,0.676,0.921,0.921,NA,NA,0.26,NA,0.18,45.6,0.621,42.5,NA,NA,0.19,NA,5,10.202,"Transparent"
"K216","Arna","Talas Valley","Brown","Splashed","TV4",2.11,NA,NA,2.5,NA,NA,NA,0.25,0.576,0.48,0.61,0.66,NA,0.12,NA,0.11,65.2,NA,27.2,NA,NA,0.17,NA,5,5.82,"Transparent"
"K216","Arna","Talas Valley","Transparent","Splashed","TV4",4.44,NA,NA,3.2,NA,NA,NA,0.55,0.594,1.03,0.78,NA,NA,0.2,NA,0.15,54.8,NA,34,NA,NA,0.15,0.11,5,9.65,"Transparent"
"K218","Arna","Talas Valley","Brown","Splashed","TAZ - Group 3",3.89,NA,NA,1.375,NA,NA,0.59,0.13,4.475,0.625,0.8,0.15,NA,0.196,NA,0.205,51.8,NA,36,NA,NA,0.15,NA,10,6.886,"Transparent"
"K218","Arna","Talas Valley","Transparent","Splashed","TAZ - Group 3",3.13,NA,NA,1.2,NA,NA,NA,0.08,0.576,0.63,0.63,NA,NA,0.24,NA,0.16,53.8,NA,39.4,NA,NA,0.11,NA,5,5.83,"Transparent"
"K221","Arna","Talas Valley","Brown","Underglaze","",4.72,NA,NA,1.1,NA,NA,NA,0.09,2.34,1.02,0.56,0.22,NA,0.31,NA,0.11,53.4,NA,35.9,NA,NA,0.2,NA,5,7.71,"Transparent"
"K221","Arna","Talas Valley","Transparent","Underglaze","",3.05,NA,NA,0.98,NA,NA,NA,0.11,0.522,0.87,0.36,NA,NA,0.38,NA,0.11,60,NA,33.5,NA,NA,0.11,NA,5,5.64,"Transparent"
"K224","Arna","Talas Valley","Yellow","Monochrome","TAZ - Group 3",4.57,NA,NA,0.84,NA,NA,NA,0.12,0.738,0.79,0.69,0.07,NA,0.18,NA,0.26,52.9,0.13,38.3,0.21,NA,0.2,NA,5,7.07,"Transparent"
"K231","Arna","Talas Valley","Green","Splashed","TAZ - Group 3",3.07,NA,NA,1.15,NA,NA,NA,1.4,0.532,0.611,0.511,NA,NA,0.15,NA,NA,60.8,NA,31.7,NA,NA,0.13,NA,5,5.492,"Transparent"
"K234","Talapty","Talas Valley","Yellow","Monochrome","TV4",6.98,NA,NA,1.04,NA,NA,NA,0.34,0.73,1.76,0.63,NA,NA,0.38,NA,0.13,46.7,0.42,40.6,NA,NA,0.28,NA,5,10.79,"Transparent"
"K238","Talapty","Talas Valley","Yellow","Monochrome","TV4",6.46,NA,NA,0.952,NA,NA,NA,0.471,0.686,1.5,0.601,NA,NA,0.411,NA,0.11,50.4,0.331,37.9,NA,NA,0.17,NA,5,9.924,"Transparent"
"K240","Talapty","Talas Valley","Blue","Alkali","TV-QTZ",2.23,NA,NA,6.77,NA,NA,NA,2.07,0.597,2.92,3.14,NA,NA,12.5,NA,0.503,8.93,NA,59.5,0.724,NA,0.111,NA,5,27.56,"Opaque"
"K242","Talapty","Talas Valley","Green","Monochrome","TV4",5.16,NA,NA,1.45,NA,NA,NA,1.1,1.01,0.99,0.86,NA,NA,0.4,NA,0.14,52,NA,34.9,NA,NA,0.21,1.76,5,8.86,"Transparent"
"K247","Talapty","Talas Valley","Blue","Alkali","TV-QTZ",3.39,NA,NA,5.73,NA,NA,NA,2.14,1.45,5.31,3.18,NA,NA,11.4,NA,0.582,1e-05,NA,66.3,NA,0.321,0.151,NA,5,29.01,"Opaque"
"K249","Talapty","Talas Valley","Transparent","Underglaze","TV4",5.48,NA,NA,1.13,NA,NA,NA,0.25,0.36,1.04,0.631,NA,NA,0.22,NA,0.18,51.1,NA,39.3,NA,NA,0.22,NA,5,8.501,"Transparent"
"K250","Talapty","Talas Valley","Brown","Underglaze","TAZ - Group 3",3.03,NA,NA,1.24,NA,NA,NA,NA,4.5,0.71,0.59,0.18,NA,0.17,NA,0.11,54.9,NA,34.4,NA,NA,0.16,NA,5,5.74,"Transparent"
"K250","Talapty","Talas Valley","Red","Underglaze","TAZ - Group 3",4.43,NA,NA,1.79,NA,NA,NA,NA,1.94,0.601,0.811,0.0901,NA,0.1,NA,0.21,53.2,NA,36.7,NA,NA,0.13,NA,4,7.732,"Transparent"
"K250","Talapty","Talas Valley","Transparent","Underglaze","TAZ - Group 3",5.19,NA,NA,1.39,NA,NA,NA,NA,1.15,0.76,0.67,NA,NA,0.12,NA,0.14,52.2,NA,38.2,NA,NA,0.15,NA,3,8.13,"Transparent"
"K254","Talapty","Talas Valley","Brown","Monochrome","",11.6,NA,NA,7.84,NA,NA,NA,1.77,3.69,5.83,2.44,0.0903,NA,1.54,NA,0.191,6.16,NA,58.3,NA,0.13,0.472,NA,5,29.25,"Transparent"
"K255","Zhargul","Talas Valley","Brown","Underglaze","",3.26,NA,NA,1.04,NA,NA,NA,0.08,1.76,0.59,0.33,0.47,NA,0.18,NA,NA,61.1,NA,31.2,NA,NA,NA,NA,5,5.4,"Transparent"
"K255","Zhargul","Talas Valley","Red","Underglaze","",3.46,NA,NA,1.2,NA,NA,NA,NA,1.15,0.551,0.36,0.14,NA,0.0901,NA,0.05,60.7,NA,32.1,NA,NA,0.15,NA,5,5.6611,"Transparent"
"K257","Zhargul","Talas Valley","Brown","Underglaze","",4.64,NA,NA,2.045,NA,NA,NA,0.285,4.5495,4.105,0.61,1.52,NA,1.11,NA,0.13,37.95,NA,43.4,NA,NA,0.3005,0.25,10,12.51,"Transparent"
"K258","Zhargul","Talas Valley","Brown","Underglaze","",5.95,NA,NA,1.94,NA,NA,NA,0.22,1.83,1.15,0.962,NA,NA,0.381,NA,0.13,46.5,NA,40.7,NA,NA,0.271,NA,3,10.383,"Transparent"
"K258","Zhargul","Talas Valley","Green","Underglaze","",3.57,NA,NA,1.24,NA,NA,NA,0.531,0.55,0.712,0.621,NA,NA,0.241,NA,NA,56.2,NA,36.2,NA,NA,0.18,NA,5,6.384,"Transparent"
"K258","Zhargul","Talas Valley","Transparent","Underglaze","",7.13,NA,NA,1.38,NA,NA,NA,0.19,0.55,1.57,0.561,NA,NA,0.511,NA,0.0901,44.1,NA,43.8,NA,NA,0.16,NA,5,11.152,"Transparent"
"K267","Zhargul","Talas Valley","Green","Monochrome","TAZ - Group 3",4.66,NA,NA,1.6,NA,NA,NA,3.03,0.468,1.09,0.54,NA,NA,0.1,NA,0.08,55.4,NA,32.9,NA,NA,0.2,NA,5,7.99,"Transparent"
"K269","Zhargul","Talas Valley","Green","Splashed","TV1",2.83,NA,NA,1.27,NA,NA,NA,1.34,0.369,0.64,0.74,NA,NA,0.15,NA,0.16,58,0.58,33.8,NA,NA,0.15,NA,5,5.63,"Transparent"
"K272","Zhargul","Talas Valley","Brown","Underglaze","TAZ - Group 3",4.53,NA,NA,1.1,NA,NA,NA,NA,3.09,0.722,0.752,NA,NA,0.12,NA,NA,51.1,NA,38.4,NA,NA,0.15,NA,5,7.224,"Transparent"
"K272","Zhargul","Talas Valley","Red","Underglaze","TAZ - Group 3",12,NA,NA,1.37,NA,NA,NA,0.321,2.8,1.74,0.741,0.0802,NA,0.23,NA,NA,44.1,NA,36.4,NA,NA,0.23,NA,5,16.081,"Transparent"
"K272","Zhargul","Talas Valley","Transparent","Underglaze","TAZ - Group 3",5.32,NA,NA,1.35,NA,NA,NA,NA,0.585,0.791,0.761,NA,NA,0.15,NA,0.13,49.7,NA,41.1,NA,NA,0.12,NA,3,8.372,"Transparent"
"K273","Zhargul","Talas Valley","Brown","Underglaze","KAZ14",2.91,NA,NA,0.752,NA,NA,NA,NA,0.424,0.621,0.471,0.832,NA,0.18,NA,NA,57.3,NA,36.5,NA,NA,NA,NA,3,4.934,"Transparent"
"K273","Zhargul","Talas Valley","Transparent","Underglaze","KAZ14",2.64,NA,NA,0.661,NA,NA,NA,0.15,0.252,0.501,0.381,NA,NA,0.17,NA,NA,61.6,NA,33.6,NA,NA,NA,NA,5,4.353,"Transparent"
"K278","Zhargul","Talas Valley","Blue","Alkali","TV-QTZ",4.54,NA,NA,6.42,NA,NA,NA,1.64,0.763,4.49,3.785,0.0904,NA,6.97,NA,0.4815,1e-05,NA,70.45,NA,0.276,0.156,NA,8,26.205,"Opaque"
"K280","Zhargul","Talas Valley","Green","Splashed","TAZ - Group 3",4.88,NA,NA,1.37,NA,NA,NA,1.46,0.406,0.881,0.541,NA,NA,0.23,NA,NA,58,NA,32.1,NA,NA,0.15,NA,5,7.902,"Transparent"
"K280","Zhargul","Talas Valley","Transparent","Splashed","TAZ - Group 3",5.77,NA,NA,1.24,NA,NA,NA,0.18,0.414,1.05,0.62,NA,NA,0.25,NA,0.12,52.2,NA,37.8,NA,NA,0.22,0.17,5,8.93,"Transparent"
"K281","Zhargul","Talas Valley","Green","Monochrome","TAZ - Group 3",6.14,NA,NA,2.04,NA,NA,NA,3.49,1.61,1.8,0.801,NA,NA,0.441,NA,NA,47.7,NA,35.7,NA,NA,0.291,NA,5,11.222,"Transparent"
"K283","Zhargul","Talas Valley","Red","Underglaze","TV1",7.84,NA,NA,1.96,NA,NA,NA,NA,3.04,1.13,0.872,NA,NA,0.281,NA,0.11,48.4,NA,36,NA,NA,0.361,NA,5,12.083,"Transparent"
"K283","Zhargul","Talas Valley","Transparent","Underglaze","TV1",6.81,NA,NA,0.682,NA,NA,NA,NA,0.496,1.36,0.541,NA,NA,0.351,NA,NA,47.5,NA,42.1,NA,NA,0.201,NA,5,9.744,"Transparent"
